offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Temple,American Athletic,Vanderbilt,SEC,400547640,4005476401,false,1,35,35,15,0,1,63,63,12,7,2,53,6,18,PUNT
Vanderbilt,SEC,Temple,American Athletic,400547640,4005476402,false,1,28,72,12,7,1,31,69,10,4,2,3,3,3,PUNT
Temple,American Athletic,Vanderbilt,SEC,400547640,4005476403,false,1,73,73,10,4,1,64,64,8,26,1,38,3,9,PUNT
Vanderbilt,SEC,Temple,American Athletic,400547640,4005476404,false,1,21,79,8,26,1,25,75,6,44,1,42,3,4,PUNT
Temple,American Athletic,Vanderbilt,SEC,400547640,4005476405,false,1,64,64,6,44,1,75,75,5,36,1,8,3,-11,PUNT
Vanderbilt,SEC,Temple,American Athletic,400547640,4005476406,false,1,46,54,5,36,1,40,60,5,25,,11,1,-6,FUMBLE
Temple,American Athletic,Vanderbilt,SEC,400547640,4005476407,true,1,40,40,5,25,1,0,0,3,39,1,46,4,40,TD
Vanderbilt,SEC,Temple,American Athletic,400547640,4005476408,false,1,65,35,3,39,1,45,55,0,41,2,58,6,24,PUNT
Temple,American Athletic,Vanderbilt,SEC,400547640,4005476409,false,1,98,98,0,41,2,78,78,14,4,1,37,5,20,PUNT
BYU,FBS Independents,Connecticut,American Athletic,400547641,4005476411,true,1,75,75,15,0,1,0,0,9,56,5,4,15,75,TD
Connecticut,American Athletic,BYU,FBS Independents,400547641,4005476412,false,1,19,81,9,56,1,74,26,9,41,,15,1,7,FUMBLE
BYU,FBS Independents,Connecticut,American Athletic,400547641,4005476413,true,1,26,26,9,41,1,0,0,9,35,,6,1,26,TD
Connecticut,American Athletic,BYU,FBS Independents,400547641,4005476414,false,1,39,61,9,35,1,74,26,6,53,2,42,5,35,INT
BYU,FBS Independents,Connecticut,American Athletic,400547641,4005476415,false,1,91,91,6,53,1,33,33,3,40,3,13,7,24,PUNT
