offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Florida State,ACC,400933827,4009338271,false,1,25,75,15,0,1,75,25,10,57,4,3,9,50,MISSED FG
Florida State,ACC,Alabama,SEC,400933827,4009338272,false,1,75,75,10,57,1,34,34,7,48,3,9,8,37,DOWNS
Alabama,SEC,Florida State,ACC,400933827,4009338273,true,1,38,62,7,48,1,82,18,4,30,3,18,9,44,FG
Florida State,ACC,Alabama,SEC,400933827,4009338274,true,1,90,90,4,30,2,0,0,13,41,5,49,11,90,TD
Alabama,SEC,Florida State,ACC,400933827,4009338275,true,2,15,85,13,41,2,100,0,11,28,2,13,5,85,TD
Florida State,ACC,Alabama,SEC,400933827,4009338276,false,2,75,75,11,28,2,68,68,10,21,1,7,3,7,PUNT
Alabama,SEC,Florida State,ACC,400933827,4009338277,false,2,33,67,10,21,2,35,65,9,15,1,6,3,2,PUNT
Florida State,ACC,Alabama,SEC,400933827,4009338278,false,2,75,75,9,15,2,54,54,6,38,2,37,5,21,PUNT
Alabama,SEC,Florida State,ACC,400933827,4009338279,false,2,14,86,6,38,2,22,78,4,45,1,53,3,8,PUNT
Arkansas,SEC,Florida A&M,,400933828,4009338281,false,1,20,80,15,0,1,40,60,12,29,2,31,4,20,PUNT
Florida A&M,,Arkansas,SEC,400933828,4009338282,false,1,74,74,12,29,1,74,74,10,34,1,55,3,0,PUNT
Arkansas,SEC,Florida A&M,,400933828,4009338283,false,1,28,72,10,34,1,55,45,8,29,2,5,6,27,INT
Florida A&M,,Arkansas,SEC,400933828,4009338284,false,1,71,71,8,29,1,71,71,7,13,1,16,3,0,PUNT
Arkansas,SEC,Florida A&M,,400933828,4009338285,true,1,36,64,7,13,1,100,0,1,15,5,58,11,64,TD
Florida A&M,,Arkansas,SEC,400933828,4009338286,false,1,90,90,1,15,1,84,84,0,1,1,14,4,9,DOWNS
Arkansas,SEC,Florida A&M,,400933828,4009338287,false,1,81,19,0,1,2,83,17,14,14,,47,2,-2,PUNT
Arkansas,SEC,Florida A&M,,400933828,4009338288,false,2,50,50,14,14,2,57,43,12,51,1,23,3,7,PUNT
Florida A&M,,Arkansas,SEC,400933828,4009338289,false,2,99,99,12,51,2,84,84,9,53,2,58,5,15,PUNT
Auburn,SEC,Georgia Southern,Sun Belt,400933829,4009338291,true,1,29,71,15,0,1,67,33,12,1,2,59,8,38,FG
Georgia Southern,Sun Belt,Auburn,SEC,400933829,4009338292,false,1,75,75,12,1,1,79,79,10,1,2,,3,-4,PUNT
Auburn,SEC,Georgia Southern,Sun Belt,400933829,4009338293,false,1,36,64,10,1,1,64,36,7,20,2,41,8,28,MISSED FG
Georgia Southern,Sun Belt,Auburn,SEC,400933829,4009338294,false,1,64,64,7,20,1,60,60,5,22,1,58,3,4,PUNT
Auburn,SEC,Georgia Southern,Sun Belt,400933829,4009338295,true,1,40,60,5,22,1,100,0,5,11,,11,1,60,TD
Georgia Southern,Sun Belt,Auburn,SEC,400933829,4009338296,false,1,75,75,5,11,1,79,79,2,56,2,15,3,-4,PUNT
Auburn,SEC,Georgia Southern,Sun Belt,400933829,4009338297,false,1,32,68,2,56,1,33,67,2,18,,38,3,1,INT
Georgia Southern,Sun Belt,Auburn,SEC,400933829,4009338298,false,1,48,48,2,18,1,45,45,1,0,1,18,3,3,PUNT
