offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Louisville,ACC,401012246,4010122461,true,1,35,65,15,0,1,100,0,11,55,3,5,7,65,TD
Louisville,ACC,Alabama,SEC,401012246,4010122462,false,1,75,75,11,55,1,55,55,10,10,1,45,4,20,PUNT
Alabama,SEC,Louisville,ACC,401012246,4010122463,false,1,20,80,10,10,1,65,35,7,4,3,6,8,63,FUMBLE
Louisville,ACC,Alabama,SEC,401012246,4010122464,false,1,83,83,7,4,1,84,84,6,4,1,,3,-1,PUNT
Alabama,SEC,Louisville,ACC,401012246,4010122465,true,1,45,55,6,4,1,100,0,4,4,2,,6,55,TD
Louisville,ACC,Alabama,SEC,401012246,4010122466,false,1,75,75,4,4,2,26,26,14,16,4,48,8,49,INT
Alabama,SEC,Louisville,ACC,401012246,4010122467,true,2,25,75,14,16,2,100,0,11,24,2,52,6,75,TD
Louisville,ACC,Alabama,SEC,401012246,4010122468,false,2,86,86,11,24,2,55,55,8,5,3,19,6,31,PUNT
Alabama,SEC,Louisville,ACC,401012246,4010122469,false,2,22,78,8,5,2,41,59,6,18,1,47,5,19,PUNT
Eastern Illinois,,Arkansas,SEC,401012247,4010122471,false,1,74,74,15,0,1,65,65,14,24,,36,3,9,FUMBLE
Arkansas,SEC,Eastern Illinois,,401012247,4010122472,true,1,65,35,14,24,1,83,17,12,43,1,41,6,18,FG
Eastern Illinois,,Arkansas,SEC,401012247,4010122473,false,1,75,75,12,43,1,30,30,9,15,3,28,10,45,MISSED FG
Arkansas,SEC,Eastern Illinois,,401012247,4010122474,false,1,30,70,9,15,1,56,44,6,25,2,50,7,26,PUNT
Eastern Illinois,,Arkansas,SEC,401012247,4010122475,false,1,91,91,6,25,1,71,71,4,52,1,33,5,20,FUMBLE
Arkansas,SEC,Eastern Illinois,,401012247,4010122476,false,1,71,29,4,52,1,63,37,2,23,2,29,3,-8,PUNT
Eastern Illinois,,Arkansas,SEC,401012247,4010122477,true,1,86,86,2,23,1,99,99,1,46,,37,2,-13,FUMBLE TD
Eastern Illinois,,Arkansas,SEC,401012247,4010122479,false,1,75,75,1,46,2,12,12,11,18,5,28,15,63,MISSED FG
Washington,Pac-12,Auburn,SEC,401012248,4010122481,false,1,75,75,15,0,1,75,75,13,57,1,3,3,0,PUNT
Auburn,SEC,Washington,Pac-12,401012248,4010122482,true,1,64,36,13,57,1,100,0,11,45,2,12,6,36,TD
Washington,Pac-12,Auburn,SEC,401012248,4010122483,false,1,75,75,11,45,1,53,53,9,42,2,3,6,22,INT
Auburn,SEC,Washington,Pac-12,401012248,4010122484,true,1,37,63,9,42,1,86,14,5,39,4,3,11,49,FG
Washington,Pac-12,Auburn,SEC,401012248,4010122485,true,1,75,75,5,39,1,14,14,2,59,2,40,7,61,FG
Auburn,SEC,Washington,Pac-12,401012248,4010122486,false,1,24,76,2,59,1,85,15,0,29,2,30,8,61,MISSED FG
Washington,Pac-12,Auburn,SEC,401012248,4010122487,false,1,80,80,0,29,2,76,76,14,41,,48,3,4,PUNT
Auburn,SEC,Washington,Pac-12,401012248,4010122488,true,2,27,73,14,41,2,90,10,10,35,4,6,12,63,FG
Washington,Pac-12,Auburn,SEC,401012248,4010122489,true,2,75,75,10,35,2,11,11,5,57,4,38,9,64,FG
Florida,SEC,Charleston Southern,,401012249,4010122491,true,1,25,75,15,0,1,100,0,12,40,2,20,8,75,TD
Charleston Southern,,Florida,SEC,401012249,4010122492,false,1,75,75,12,40,1,78,78,10,59,1,41,3,-3,PUNT
Florida,SEC,Charleston Southern,,401012249,4010122493,true,1,32,68,10,59,1,96,4,8,3,2,56,8,64,FG
Charleston Southern,,Florida,SEC,401012249,4010122494,false,1,64,64,8,3,1,62,62,5,55,2,8,3,2,PUNT
Florida,SEC,Charleston Southern,,401012249,4010122495,false,1,26,74,5,55,1,49,51,2,37,3,18,7,23,PUNT
Charleston Southern,,Florida,SEC,401012249,4010122496,false,1,85,85,2,37,1,89,89,0,50,1,47,3,-4,PUNT
Florida,SEC,Charleston Southern,,401012249,4010122497,true,1,57,43,0,50,2,100,0,13,14,2,31,6,43,TD
Charleston Southern,,Florida,SEC,401012249,4010122498,false,2,80,80,13,14,2,71,71,11,29,1,45,4,9,DOWNS
Florida,SEC,Charleston Southern,,401012249,4010122499,true,2,71,29,11,29,2,100,0,9,51,1,38,4,29,TD
Georgia,SEC,Austin Peay,,401012250,4010122501,true,1,42,58,15,0,1,83,17,10,42,4,18,10,41,FG
Austin Peay,,Georgia,SEC,401012250,4010122502,false,1,75,75,10,42,1,56,56,7,17,3,25,6,19,PUNT
Georgia,SEC,Austin Peay,,401012250,4010122503,true,1,20,80,7,17,1,100,0,3,27,3,50,11,80,TD
Austin Peay,,Georgia,SEC,401012250,4010122504,false,1,75,75,3,27,1,80,80,2,48,,39,1,-17,FUMBLE
Georgia,SEC,Austin Peay,,401012250,4010122505,true,1,92,8,2,48,1,100,0,2,41,,7,1,8,TD
Austin Peay,,Georgia,SEC,401012250,4010122506,false,1,75,75,2,41,2,20,20,11,39,6,2,11,55,MISSED FG
Georgia,SEC,Austin Peay,,401012250,4010122507,true,2,21,79,11,39,2,100,0,10,29,1,10,3,79,TD
Austin Peay,,Georgia,SEC,401012250,4010122508,false,2,75,75,10,29,2,72,72,9,29,1,,3,3,PUNT
Georgia,SEC,Austin Peay,,401012250,4010122509,true,2,50,50,9,29,2,100,0,4,50,4,39,9,69,TD
Kentucky,SEC,Central Michigan,Mid-American,401012251,4010122511,false,1,26,74,15,0,1,31,69,13,28,1,32,3,5,PUNT
Central Michigan,Mid-American,Kentucky,SEC,401012251,4010122512,false,1,81,81,13,28,1,75,75,11,55,1,33,3,6,PUNT
Kentucky,SEC,Central Michigan,Mid-American,401012251,4010122513,false,1,11,89,11,55,1,26,74,8,25,3,30,6,15,PUNT
Central Michigan,Mid-American,Kentucky,SEC,401012251,4010122514,false,1,80,80,8,25,1,75,75,6,46,1,39,3,5,PUNT
Kentucky,SEC,Central Michigan,Mid-American,401012251,4010122515,false,1,44,56,6,46,1,49,51,6,13,,33,2,5,FUMBLE
Central Michigan,Mid-American,Kentucky,SEC,401012251,4010122516,true,1,49,49,6,13,1,8,8,3,9,3,4,7,41,FG
Kentucky,SEC,Central Michigan,Mid-American,401012251,4010122517,true,1,24,76,3,9,1,100,0,1,17,1,52,4,76,TD
Central Michigan,Mid-American,Kentucky,SEC,401012251,4010122518,false,1,98,98,1,17,2,93,93,14,8,2,9,3,5,PUNT
Kentucky,SEC,Central Michigan,Mid-American,401012251,4010122519,false,2,64,36,14,8,2,68,32,0,0,14,8,3,4,INT
Ole Miss,SEC,Texas Tech,Big 12,401012253,4010122531,true,1,69,69,15,0,1,0,0,14,27,,33,2,69,TD
Texas Tech,Big 12,Ole Miss,SEC,401012253,4010122532,true,1,10,90,14,27,1,97,3,10,32,3,55,10,90,TD
Ole Miss,SEC,Texas Tech,Big 12,401012253,4010122533,true,1,0,0,10,32,1,0,0,10,17,,15,0,0,TD
Texas Tech,Big 12,Ole Miss,SEC,401012253,4010122534,false,1,26,74,10,17,1,30,70,9,12,1,5,3,4,PUNT
Ole Miss,SEC,Texas Tech,Big 12,401012253,4010122535,true,1,72,72,9,12,1,7,7,4,30,4,42,14,65,FG
Texas Tech,Big 12,Ole Miss,SEC,401012253,4010122536,false,1,25,75,4,30,1,27,73,2,57,1,33,3,2,PUNT
Ole Miss,SEC,Texas Tech,Big 12,401012253,4010122537,true,1,60,60,2,57,1,0,0,1,8,1,49,5,60,TD
Texas Tech,Big 12,Ole Miss,SEC,401012253,4010122538,true,1,51,49,1,8,2,93,7,12,17,3,51,9,42,FG
Ole Miss,SEC,Texas Tech,Big 12,401012253,4010122539,false,2,75,75,12,17,2,57,57,11,7,1,10,4,18,PUNT
Stephen F. Austin,,Mississippi State,SEC,401012254,4010122541,false,1,75,75,15,0,1,79,79,13,22,1,38,3,-4,PUNT
Mississippi State,SEC,Stephen F. Austin,,401012254,4010122542,true,1,47,53,13,22,1,100,0,13,10,,12,1,53,TD
Stephen F. Austin,,Mississippi State,SEC,401012254,4010122543,false,1,75,75,13,10,1,78,78,12,10,1,,3,-3,PUNT
Mississippi State,SEC,Stephen F. Austin,,401012254,4010122544,false,1,34,66,12,10,1,77,23,10,27,1,43,6,43,MISSED FG
Stephen F. Austin,,Mississippi State,SEC,401012254,4010122545,false,1,77,77,10,27,1,91,91,8,15,2,12,3,-14,PUNT
Mississippi State,SEC,Stephen F. Austin,,401012254,4010122546,true,1,81,19,8,15,1,100,0,5,22,2,53,5,19,TD
Stephen F. Austin,,Mississippi State,SEC,401012254,4010122547,false,1,72,72,5,22,1,56,56,3,59,1,23,4,16,PUNT
Mississippi State,SEC,Stephen F. Austin,,401012254,4010122548,true,1,16,84,3,59,1,100,0,3,34,,25,1,84,TD
Stephen F. Austin,,Mississippi State,SEC,401012254,4010122549,true,1,82,82,3,34,2,19,19,13,1,5,33,15,63,FG
UT Martin,,Missouri,SEC,401012255,4010122551,false,1,75,75,15,0,1,68,68,13,56,1,4,3,7,PUNT
Missouri,SEC,UT Martin,,401012255,4010122552,true,1,38,62,13,56,1,100,0,10,58,2,58,9,62,TD
