offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Arkansas,SEC,LSU,SEC,400603932,4006039327,true,1,91,91,1,7,2,0,0,14,42,1,25,4,91,TD
LSU,SEC,Arkansas,SEC,400603932,4006039328,false,2,27,73,14,42,2,45,55,9,16,5,26,9,18,PUNT
Arkansas,SEC,LSU,SEC,400603932,4006039329,false,2,86,86,9,16,2,33,33,5,27,3,49,6,53,INT
Mississippi State,SEC,Alabama,SEC,400603933,4006039331,false,1,25,75,15,0,1,30,70,11,47,3,13,6,5,PUNT
Alabama,SEC,Mississippi State,SEC,400603933,4006039332,false,1,84,84,11,47,1,81,81,11,4,,43,3,3,PUNT
Mississippi State,SEC,Alabama,SEC,400603933,4006039333,false,1,47,53,11,4,1,99,1,7,20,3,44,10,51,DOWNS
Alabama,SEC,Mississippi State,SEC,400603933,4006039334,false,1,98,98,7,20,1,61,61,5,49,1,31,5,37,INT
Mississippi State,SEC,Alabama,SEC,400603933,4006039335,false,1,28,72,5,49,1,59,41,3,37,2,12,5,31,PUNT
Alabama,SEC,Mississippi State,SEC,400603933,4006039336,false,1,91,91,3,37,1,83,83,1,51,1,46,3,8,PUNT
Mississippi State,SEC,Alabama,SEC,400603933,4006039337,false,1,42,58,1,51,1,42,58,1,40,,11,2,5,FUMBLE
Alabama,SEC,Mississippi State,SEC,400603933,4006039338,false,1,47,47,1,40,1,46,46,0,7,1,33,3,1,PUNT
Mississippi State,SEC,Alabama,SEC,400603933,4006039339,false,1,13,87,0,7,2,68,32,14,6,1,1,5,55,MISSED FG
Florida,SEC,South Carolina,SEC,400603934,4006039341,false,1,75,75,15,0,1,61,61,13,0,2,,5,14,PUNT
South Carolina,SEC,Florida,SEC,400603934,4006039342,false,1,28,72,13,0,1,55,45,8,28,4,32,8,27,PUNT
Florida,SEC,South Carolina,SEC,400603934,4006039343,true,1,87,87,8,28,1,0,0,1,50,6,38,15,87,TD
South Carolina,SEC,Florida,SEC,400603934,4006039344,false,1,25,75,1,50,1,23,77,0,28,1,22,3,-2,PUNT
Florida,SEC,South Carolina,SEC,400603934,4006039345,true,1,76,76,0,28,2,0,0,8,17,7,11,12,76,TD
South Carolina,SEC,Florida,SEC,400603934,4006039346,false,2,15,85,8,17,2,40,60,5,23,2,54,6,25,PUNT
Florida,SEC,South Carolina,SEC,400603934,4006039347,false,2,85,85,5,23,2,80,80,3,40,1,43,3,5,PUNT
