offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Duke,ACC,401110720,4011107201,false,1,22,78,15,0,1,19,81,12,57,2,3,3,-3,PUNT
Duke,ACC,Alabama,SEC,401110720,4011107202,false,1,55,55,12,57,1,52,52,11,49,1,8,3,3,PUNT
Alabama,SEC,Duke,ACC,401110720,4011107203,false,1,17,83,11,49,1,23,77,11,24,,25,2,9,FUMBLE
Duke,ACC,Alabama,SEC,401110720,4011107204,false,1,26,26,11,24,1,7,7,8,28,2,56,7,19,DOWNS
Alabama,SEC,Duke,ACC,401110720,4011107205,false,1,7,93,8,28,1,69,31,3,25,5,3,12,62,MISSED FG
Duke,ACC,Alabama,SEC,401110720,4011107206,false,1,68,68,3,25,1,48,48,0,51,2,34,5,20,PUNT
Alabama,SEC,Duke,ACC,401110720,4011107207,true,1,20,80,0,51,2,100,0,10,2,5,49,12,80,TD
Duke,ACC,Alabama,SEC,401110720,4011107208,false,2,75,75,10,2,2,81,81,8,24,1,38,3,-6,PUNT
Alabama,SEC,Duke,ACC,401110720,4011107209,true,2,24,76,8,24,2,100,0,5,13,3,11,7,76,TD
Portland State,,Arkansas,SEC,401110721,4011107211,true,1,75,75,15,0,1,33,33,13,9,1,51,6,42,FG
Arkansas,SEC,Portland State,,401110721,4011107212,true,1,30,70,13,9,1,84,16,9,40,3,29,9,54,FG
Portland State,,Arkansas,SEC,401110721,4011107213,false,1,75,75,9,40,1,77,77,7,31,2,9,3,-2,PUNT
Arkansas,SEC,Portland State,,401110721,4011107214,true,1,36,64,7,31,1,100,0,3,16,4,15,10,64,TD
Portland State,,Arkansas,SEC,401110721,4011107215,true,1,75,75,3,16,2,30,30,14,7,4,9,11,45,FG
Arkansas,SEC,Portland State,,401110721,4011107216,false,2,27,73,14,7,2,29,71,12,29,1,38,3,2,PUNT
Portland State,,Arkansas,SEC,401110721,4011107217,false,2,65,65,12,29,2,41,41,9,10,3,19,6,24,PUNT
Arkansas,SEC,Portland State,,401110721,4011107218,false,2,20,80,9,10,2,60,40,3,37,5,33,10,40,PUNT
Portland State,,Arkansas,SEC,401110721,4011107219,false,2,80,80,3,37,2,82,82,2,46,,51,3,-2,INT
Oregon,Pac-12,Auburn,SEC,401110722,4011107221,true,1,74,74,15,0,1,0,0,10,13,4,47,11,74,TD
Auburn,SEC,Oregon,Pac-12,401110722,4011107222,false,1,25,75,10,13,1,27,73,8,34,1,39,3,2,PUNT
Oregon,Pac-12,Auburn,SEC,401110722,4011107223,false,1,44,44,8,34,1,2,2,4,42,3,52,10,42,MISSED FG
Auburn,SEC,Oregon,Pac-12,401110722,4011107224,true,1,20,80,4,42,1,78,22,3,17,1,25,6,58,FG
Oregon,Pac-12,Auburn,SEC,401110722,4011107225,true,1,75,75,3,17,1,0,0,2,11,1,6,3,75,TD
Auburn,SEC,Oregon,Pac-12,401110722,4011107226,false,1,20,80,2,11,2,85,15,12,31,4,40,11,65,INT
Oregon,Pac-12,Auburn,SEC,401110722,4011107227,false,2,88,88,12,31,2,72,72,9,16,3,15,5,16,PUNT
Auburn,SEC,Oregon,Pac-12,401110722,4011107228,false,2,13,87,9,16,2,41,59,6,31,2,45,5,28,PUNT
Oregon,Pac-12,Auburn,SEC,401110722,4011107229,false,2,9,9,6,31,2,9,9,6,15,,16,1,-5,FUMBLE
Miami,ACC,Florida,SEC,401110723,4011107231,true,1,75,75,15,0,1,19,19,9,37,5,23,9,56,FG
Florida,SEC,Miami,ACC,401110723,4011107232,true,1,21,79,9,37,1,100,0,7,37,2,,5,79,TD
Miami,ACC,Florida,SEC,401110723,4011107233,false,1,75,75,7,37,1,79,79,4,59,2,38,3,-5,PUNT
Florida,SEC,Miami,ACC,401110723,4011107234,false,1,40,60,4,59,2,93,7,13,18,6,41,12,51,FUMBLE
Miami,ACC,Florida,SEC,401110723,4011107235,false,2,91,91,13,18,2,93,93,11,41,1,37,3,-2,PUNT
Florida,SEC,Miami,ACC,401110723,4011107236,false,2,60,40,11,41,2,63,37,10,46,,55,2,-8,FUMBLE
Miami,ACC,Florida,SEC,401110723,4011107237,true,2,52,52,10,46,2,25,25,8,26,2,20,5,27,FG
Florida,SEC,Miami,ACC,401110723,4011107238,false,2,33,67,8,26,2,40,60,6,53,1,33,3,7,PUNT
Miami,ACC,Florida,SEC,401110723,4011107239,true,2,90,90,6,53,2,0,0,0,45,6,8,12,90,TD
Toledo,Mid-American,Kentucky,SEC,401110724,4011107241,true,1,63,63,15,0,1,0,0,12,15,2,45,7,63,TD
Kentucky,SEC,Toledo,Mid-American,401110724,4011107242,false,1,30,70,12,9,1,25,75,10,38,1,31,3,-5,PUNT
Toledo,Mid-American,Kentucky,SEC,401110724,4011107243,false,1,80,80,10,38,1,44,44,6,37,4,1,8,36,PUNT
Kentucky,SEC,Toledo,Mid-American,401110724,4011107244,true,1,3,97,6,37,2,100,0,14,55,6,42,14,97,TD
Toledo,Mid-American,Kentucky,SEC,401110724,4011107245,true,2,75,75,14,55,2,0,0,11,31,3,24,7,75,TD
Kentucky,SEC,Toledo,Mid-American,401110724,4011107246,false,2,24,76,11,25,2,22,78,9,36,1,49,3,-2,PUNT
Toledo,Mid-American,Kentucky,SEC,401110724,4011107247,false,2,87,87,9,36,2,93,93,7,0,2,36,3,-6,PUNT
Kentucky,SEC,Toledo,Mid-American,401110724,4011107248,true,2,44,56,7,0,2,100,0,6,1,,59,3,56,TD
Toledo,Mid-American,Kentucky,SEC,401110724,4011107249,false,2,75,75,6,1,2,50,50,3,21,2,40,6,25,PUNT
LSU,SEC,Georgia Southern,Sun Belt,401110725,4011107251,true,1,25,75,15,0,1,100,0,12,36,2,24,6,75,TD
Georgia Southern,Sun Belt,LSU,SEC,401110725,4011107252,false,1,75,75,12,36,1,71,71,10,23,2,13,3,4,PUNT
LSU,SEC,Georgia Southern,Sun Belt,401110725,4011107253,true,1,66,34,10,23,1,100,0,8,10,2,13,6,34,TD
Georgia Southern,Sun Belt,LSU,SEC,401110725,4011107254,false,1,75,75,8,10,1,78,78,6,59,1,11,3,-3,PUNT
LSU,SEC,Georgia Southern,Sun Belt,401110725,4011107255,true,1,48,52,6,59,1,100,0,3,9,3,50,10,52,TD
Georgia Southern,Sun Belt,LSU,SEC,401110725,4011107256,false,1,75,75,3,9,1,52,52,0,12,2,57,5,11,FUMBLE
LSU,SEC,Georgia Southern,Sun Belt,401110725,4011107257,true,1,74,26,0,12,2,100,0,13,10,2,2,5,26,TD
