offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Northwestern State,,Baylor,Big 12,400868876,4008688761,false,1,86,86,15,0,1,79,79,12,45,2,15,3,7,PUNT
Baylor,Big 12,Northwestern State,,400868876,4008688762,true,1,41,59,12,45,1,100,0,10,46,1,59,6,59,TD
Northwestern State,,Baylor,Big 12,400868876,4008688763,false,1,75,75,10,46,1,96,96,9,29,1,17,3,-21,PUNT
Baylor,Big 12,Northwestern State,,400868876,4008688764,true,1,69,31,9,29,1,94,6,6,52,2,37,6,25,FG
Northwestern State,,Baylor,Big 12,400868876,4008688765,false,1,75,75,6,52,1,79,79,5,50,1,2,3,-4,PUNT
Baylor,Big 12,Northwestern State,,400868876,4008688766,true,1,54,46,5,50,1,100,0,4,26,1,24,7,46,TD
Northwestern State,,Baylor,Big 12,400868876,4008688767,false,1,65,65,4,26,1,79,79,3,22,1,4,3,-14,PUNT
Baylor,Big 12,Northwestern State,,400868876,4008688768,true,1,45,55,3,22,1,100,0,1,2,2,20,8,55,TD
Northwestern State,,Baylor,Big 12,400868876,4008688769,false,1,90,90,1,2,2,62,62,12,54,3,8,6,28,PUNT
SMU,American Athletic,Baylor,Big 12,400868877,4008688771,false,1,77,77,15,0,1,35,35,14,2,,58,4,42,PUNT
Baylor,Big 12,SMU,American Athletic,400868877,4008688772,false,1,21,79,14,2,1,37,63,11,43,2,19,6,16,PUNT
SMU,American Athletic,Baylor,Big 12,400868877,4008688773,true,1,74,74,11,43,1,7,7,9,12,2,31,9,67,FG
Baylor,Big 12,SMU,American Athletic,400868877,4008688774,false,1,33,67,9,12,1,49,51,8,18,,54,4,16,PUNT
SMU,American Athletic,Baylor,Big 12,400868877,4008688775,true,1,92,92,8,18,1,8,8,3,39,4,39,13,84,FG
Baylor,Big 12,SMU,American Athletic,400868877,4008688776,true,1,27,73,3,39,2,82,18,13,51,4,48,15,55,FG
SMU,American Athletic,Baylor,Big 12,400868877,4008688777,false,2,75,75,13,51,2,34,34,11,0,2,51,8,41,PUNT
Baylor,Big 12,SMU,American Athletic,400868877,4008688778,false,2,20,80,11,0,2,21,79,10,7,,53,3,1,PUNT
SMU,American Athletic,Baylor,Big 12,400868877,4008688779,false,2,78,78,10,7,2,80,80,8,47,1,20,3,-2,PUNT
Baylor,Big 12,Oklahoma State,Big 12,400868878,4008688781,true,1,25,75,15,0,1,100,0,13,22,1,38,7,75,TD
Oklahoma State,Big 12,Baylor,Big 12,400868878,4008688782,false,1,82,82,13,22,1,60,60,9,48,3,34,5,22,FUMBLE
Oklahoma State,Big 12,Baylor,Big 12,400868878,4008688783,true,1,5,5,9,48,1,0,0,9,44,,4,1,5,TD
Baylor,Big 12,Oklahoma State,Big 12,400868878,4008688784,false,1,21,79,9,44,1,86,14,7,27,2,17,11,68,DOWNS
Oklahoma State,Big 12,Baylor,Big 12,400868878,4008688785,false,1,89,89,7,27,1,62,62,5,41,1,46,6,22,FUMBLE
Baylor,Big 12,Oklahoma State,Big 12,400868878,4008688786,false,1,67,33,5,41,1,78,22,4,54,,47,4,11,INT
Oklahoma State,Big 12,Baylor,Big 12,400868878,4008688787,false,1,87,87,4,54,2,27,27,14,16,5,38,13,60,MISSED FG
Baylor,Big 12,Oklahoma State,Big 12,400868878,4008688788,true,2,27,73,14,16,2,100,0,12,28,1,48,8,73,TD
Oklahoma State,Big 12,Baylor,Big 12,400868878,4008688789,true,2,75,75,12,28,2,0,0,5,32,6,56,14,75,TD
Baylor,Big 12,Iowa State,Big 12,400868879,4008688791,false,1,75,75,15,0,1,67,67,13,17,1,43,6,8,PUNT
Iowa State,Big 12,Baylor,Big 12,400868879,4008688792,true,1,19,81,13,17,1,100,0,9,36,3,41,8,81,TD
Baylor,Big 12,Iowa State,Big 12,400868879,4008688793,false,1,75,75,9,36,1,30,30,6,27,3,9,10,45,DOWNS
Iowa State,Big 12,Baylor,Big 12,400868879,4008688794,true,1,30,70,6,27,1,100,0,3,6,3,21,8,70,TD
Baylor,Big 12,Iowa State,Big 12,400868879,4008688795,true,1,75,75,3,6,1,0,0,1,12,1,54,8,75,TD
Iowa State,Big 12,Baylor,Big 12,400868879,4008688796,true,1,22,78,1,12,2,100,0,11,40,4,32,13,78,TD
Baylor,Big 12,Iowa State,Big 12,400868879,4008688797,true,2,85,85,11,40,2,0,0,10,28,1,12,5,85,TD
Iowa State,Big 12,Baylor,Big 12,400868879,4008688798,true,2,25,75,10,28,2,100,0,2,48,7,40,16,75,TD
Baylor,Big 12,Iowa State,Big 12,400868879,4008688799,true,2,75,75,2,48,2,0,0,0,53,1,55,6,75,TD
Baylor,Big 12,Kansas,Big 12,400868880,4008688801,true,1,25,75,15,0,1,100,0,11,55,3,5,11,75,TD
Kansas,Big 12,Baylor,Big 12,400868880,4008688802,true,1,80,80,11,55,1,42,42,8,40,3,15,9,38,INT TD
Kansas,Big 12,Baylor,Big 12,400868880,4008688803,false,1,84,84,8,40,1,85,85,6,56,1,44,3,-1,PUNT
Baylor,Big 12,Kansas,Big 12,400868880,4008688804,false,1,3,97,6,56,1,12,88,5,49,1,7,3,9,PUNT
Kansas,Big 12,Baylor,Big 12,400868880,4008688805,false,1,49,49,5,49,1,42,42,4,20,1,29,4,7,DOWNS
Baylor,Big 12,Kansas,Big 12,400868880,4008688806,true,1,42,58,4,20,1,100,0,2,47,1,33,6,58,TD
Kansas,Big 12,Baylor,Big 12,400868880,4008688807,false,1,65,65,2,47,1,79,79,0,40,2,7,5,13,PUNT
Baylor,Big 12,Kansas,Big 12,400868880,4008688808,false,1,44,56,0,40,1,44,56,0,27,,13,3,0,PUNT
Kansas,Big 12,Baylor,Big 12,400868880,4008688809,false,1,92,92,0,27,2,92,92,12,25,3,2,5,0,PUNT
Baylor,Big 12,Texas,Big 12,400868881,4008688811,true,1,75,75,15,0,1,0,0,13,54,1,6,6,75,TD
Texas,Big 12,Baylor,Big 12,400868881,4008688812,true,1,35,65,13,54,1,100,0,11,19,2,35,8,88,TD
Baylor,Big 12,Texas,Big 12,400868881,4008688813,false,1,75,75,11,19,1,75,75,11,12,,7,1,0,INT
Texas,Big 12,Baylor,Big 12,400868881,4008688814,true,1,63,37,11,12,1,100,0,11,5,,7,1,37,TD
Baylor,Big 12,Texas,Big 12,400868881,4008688815,true,1,75,75,11,5,1,0,0,9,26,1,39,5,75,TD
Texas,Big 12,Baylor,Big 12,400868881,4008688816,false,1,33,67,9,26,1,37,63,7,15,2,11,5,4,PUNT
Baylor,Big 12,Texas,Big 12,400868881,4008688817,false,1,80,80,7,15,1,83,83,6,25,,50,3,-3,PUNT
Texas,Big 12,Baylor,Big 12,400868881,4008688818,false,1,38,62,6,25,1,70,30,3,30,2,55,9,32,INT
Baylor,Big 12,Texas,Big 12,400868881,4008688819,false,1,76,76,3,30,1,60,60,2,1,1,29,4,16,PUNT
Baylor,Big 12,TCU,Big 12,400868882,4008688821,true,1,19,81,15,0,1,100,0,14,38,,22,2,81,TD
TCU,Big 12,Baylor,Big 12,400868882,4008688822,true,1,54,54,14,38,1,0,0,14,4,,34,3,54,TD
