"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"399","SIUE","Mid-American","M",25,21,8,5,4,17,2,5,4,0.470588235294118,32,58,83,8,204,246,0.389261744966443,0.482456140350877,9,0
"400","SIUE","Ohio Valley","W",45,26,10,5,5,20,2,6,19,0.5,22,43,99,18,157,332,0.26875,0.359223300970874,29,0
"401","SMU","American Athletic","M",63,17,18,2,1,21,0,11,46,0.857142857142857,2,121,146,26,409,455,0.41296928327645,0.520547945205479,3,7
"402","SMU","American Athletic","W",40,19,12,7,1,20,4,9,21,0.6,20,82,120,30,268,367,0.353448275862069,0.481865284974093,9,0
"403","South Alabama","Sun Belt","W",50,14,16,4,2,22,4,11,36,0.727272727272727,8,83,125,35,263,381,0.34156378600823,0.431279620853081,19,0
"404","South Carolina","Conference USA","M",19,30,7,9,2,18,6,4,-11,0.388888888888889,47,52,55,5,181,204,0.464285714285714,0.482993197278912,8,0
"405","South Carolina","SEC","W",43,8,19,2,3,24,2,16,35,0.791666666666667,9,153,125,45,500,383,0.473684210526316,0.508896797153025,4,6
"406","South Carolina State","Independent","W",16,37,2,10,0,12,4,1,-21,0.166666666666667,61,1,32,0,18,150,0.0303030303030303,0.126984126984127,32,0
"407","South Dakota","Summit League","W",30,26,8,9,2,19,4,4,4,0.421052631578947,37,45,86,22,139,246,0.294117647058824,0.432748538011696,17,0
"408","South Dakota State","Summit League","W",30,9,15,5,2,22,4,15,21,0.681818181818182,20,80,145,33,276,398,0.310077519379845,0.432748538011696,17,0
"409","South Florida","American Athletic","M",30,24,11,7,1,19,4,5,6,0.578947368421053,30,57,81,13,219,268,0.377483443708609,0.520547945205479,3,0
"410","South Florida","American Athletic","W",44,20,16,5,0,21,2,7,24,0.761904761904762,17,132,123,34,433,373,0.456747404844291,0.481865284974093,9,16
"411","Southeast Missouri State","Ohio Valley","W",28,26,11,5,1,17,4,4,2,0.647058823529412,39,48,107,28,176,320,0.262295081967213,0.359223300970874,29,0
"412","Southeastern Louisiana","Southland","W",17,33,4,13,1,18,11,2,-16,0.222222222222222,56,22,52,1,88,168,0.293333333333333,0.423076923076923,21,0
"413","Southern Illinois","Independent","W",12,39,5,10,2,17,8,3,-27,0.294117647058824,66,25,26,8,73,91,0.423728813559322,0.126984126984127,32,0
"414","Southern Mississippi","Conference USA","W",28,25,7,10,1,18,5,5,3,0.388888888888889,38,60,70,8,221,270,0.434782608695652,0.49063670411985,7,0
"415","Southern University","Southwestern Athletic","W",18,43,4,12,1,17,9,1,-25,0.235294117647059,64,10,55,2,64,251,0.149253731343284,0.372549019607843,28,0
"416","Southern Utah","Big Sky","W",9,42,1,15,2,18,10,0,-33,0.0555555555555556,71,2,14,3,17,42,0.105263157894737,0.309278350515464,31,0
"417","St. Bonaventure","Atlantic 10","M",19,33,5,11,0,16,7,2,-14,0.3125,50,22,55,8,90,169,0.258823529411765,0.41025641025641,15,0
"418","St. Bonaventure","Atlantic 10","W",15,22,7,10,1,18,7,4,-7,0.388888888888889,48,32,79,16,126,216,0.251968503937008,0.432330827067669,18,0
"419","St. Francis Brooklyn","Northeast","M",26,17,7,6,2,15,3,5,9,0.466666666666667,27,36,74,8,125,244,0.305084745762712,0.401197604790419,18,0
"420","St. Francis Brooklyn","Northeast","W",4,39,0,17,0,17,15,0,-35,0,72,NA,NA,NA,NA,NA,NA,0.341584158415842,30,0
"421","St. John's","Big East","M",38,19,14,5,1,20,4,9,19,0.7,17,117,106,31,337,336,0.460629921259843,0.547368421052632,2,12
"422","St. John's","Big East","W",17,33,5,12,1,18,8,3,-16,0.277777777777778,56,30,45,8,89,132,0.36144578313253,0.453125,14,0
"423","St. Mary's (CA)","West Coast","M",47,15,16,2,0,18,1,11,32,0.888888888888889,6,118,155,35,414,463,0.383116883116883,0.485714285714286,6,15
"424","St. Mary's (CA)","West Coast","W",17,37,7,11,1,19,8,5,-20,0.368421052631579,60,46,73,11,148,198,0.353846153846154,0.489795918367347,8,0
"425","Stanford","Pacific 12","M",36,16,14,3,5,22,2,10,20,0.636363636363636,16,78,101,26,286,317,0.380487804878049,0.504424778761062,4,4
"426","Stanford","Pacific 12","W",102,12,23,1,1,25,1,15,90,0.92,1,256,142,46,798,537,0.576576576576577,0.590733590733591,1,1
"427","Stephen F. Austin","Southland","W",31,30,8,11,0,19,4,7,1,0.421052631578947,40,36,85,6,154,285,0.283464566929134,0.423076923076923,21,0
"428","Stetson","ASUN","M",22,31,8,10,2,20,6,4,-9,0.4,45,36,58,11,126,181,0.342857142857143,0.39344262295082,20,0
"429","Stetson","ASUN","W",16,43,2,13,2,17,9,0,-27,0.117647058823529,66,6,11,1,19,30,0.333333333333333,0.432926829268293,16,0
"430","Stony Brook","America East","M",16,30,4,11,2,17,6,1,-14,0.235294117647059,50,31,35,8,115,104,0.418918918918919,0.496551724137931,5,0
"431","Stony Brook","America East","W",36,22,14,6,1,21,2,8,14,0.666666666666667,27,83,126,21,267,356,0.360869565217391,0.424050632911392,20,0
"432","Syracuse","Atlantic Coast","M",41,33,8,7,5,20,2,4,8,0.4,28,50,46,16,152,148,0.446428571428571,0.5625,1,0
"433","Syracuse","Atlantic Coast","W",12,28,3,11,2,16,7,2,-16,0.1875,56,15,28,12,58,81,0.272727272727273,0.546099290780142,3,0
"434","TCU","Big 12","W",40,27,11,8,4,23,5,7,13,0.478260869565217,28,65,99,27,236,276,0.340314136125654,0.495238095238095,5,0
"435","Temple","American Athletic","M",18,22,8,8,2,18,7,3,-4,0.444444444444444,40,51,61,13,183,201,0.408,0.520547945205479,3,0
"436","Temple","American Athletic","W",17,24,5,9,5,19,7,3,-7,0.263157894736842,48,18,64,8,80,189,0.2,0.481865284974093,9,0
"437","Tennessee","SEC","W",26,17,9,6,3,18,4,7,9,0.5,32,73,77,20,223,233,0.429411764705882,0.508896797153025,4,0
"438","Tennessee Tech","Ohio Valley","W",23,32,6,8,5,19,5,2,-9,0.315789473684211,50,34,65,9,138,179,0.314814814814815,0.359223300970874,29,0
"439","Texas","Big 12","W",35,29,11,8,1,20,4,6,6,0.55,35,90,94,17,276,274,0.447761194029851,0.495238095238095,5,0
"440","Texas A&M","SEC","W",51,22,14,5,3,22,1,8,29,0.636363636363636,13,124,119,33,420,399,0.449275362318841,0.508896797153025,4,22
"441","Texas A&M-Corpus Christi","Southland","W",24,25,9,9,2,20,6,8,-1,0.45,42,79,87,9,246,312,0.451428571428571,0.423076923076923,21,0
"442","Texas Southern","Southwestern Athletic","W",18,46,6,11,1,18,9,3,-28,0.333333333333333,67,29,75,3,124,312,0.271028037383178,0.372549019607843,28,0
"443","Texas State","Sun Belt","W",20,10,9,7,3,19,6,8,10,0.473684210526316,31,62,92,13,202,272,0.37125748502994,0.431279620853081,19,0
"444","Texas Tech","Big 12","W",48,20,15,4,4,23,1,9,28,0.652173913043478,14,130,119,28,434,394,0.469314079422383,0.495238095238095,5,20
"445","The Citadel","Southern","W",26,43,5,11,2,18,5,4,-17,0.277777777777778,57,21,48,7,84,121,0.276315789473684,0.461928934010152,13,0
"446","Toledo","Mid-American","W",23,34,7,12,0,19,10,4,-11,0.368421052631579,52,47,70,13,151,223,0.361538461538462,0.419491525423729,22,0
"447","Towson","Colonial Athletic Association","W",15,41,4,13,1,18,8,3,-26,0.222222222222222,65,20,45,5,62,118,0.285714285714286,0.463541666666667,12,0
"448","Troy University","Sun Belt","W",41,19,12,3,4,19,2,5,22,0.631578947368421,19,66,116,22,219,360,0.323529411764706,0.431279620853081,19,0
"449","Tulsa","American Athletic","M",24,32,4,10,2,16,3,2,-8,0.25,44,27,35,4,88,101,0.409090909090909,0.520547945205479,3,0
"450","Tulsa","American Athletic","W",35,36,8,11,0,19,6,5,-1,0.421052631578947,42,48,74,16,181,274,0.347826086956522,0.481865284974093,9,0
"451","UAB","Conference USA","M",19,40,3,12,2,17,4,1,-21,0.176470588235294,57,26,23,8,79,87,0.456140350877193,0.482993197278912,8,0
"452","UAB","Conference USA","W",19,20,5,7,6,18,3,3,-1,0.277777777777778,42,39,37,5,142,125,0.481481481481481,0.49063670411985,7,0
"453","UC Davis","Big West","M",27,13,13,5,2,20,5,8,14,0.65,22,101,104,23,333,316,0.442982456140351,0.483870967741935,7,25
"454","UC Davis","Big West","W",22,27,7,11,0,18,7,3,-5,0.388888888888889,46,45,78,10,131,206,0.338345864661654,0.376470588235294,26,0
"455","UC Irvine","Big West","M",27,23,7,7,5,19,5,4,4,0.368421052631579,32,67,51,16,181,150,0.5,0.483870967741935,7,0
"456","UC Irvine","Big West","W",16,37,4,12,2,18,8,2,-21,0.222222222222222,61,23,48,6,75,131,0.298701298701299,0.376470588235294,26,0
"457","UC Riverside","Big West","M",16,22,6,9,3,18,5,3,-6,0.333333333333333,42,44,40,8,136,134,0.478260869565217,0.483870967741935,7,0
"458","UC Riverside","Big West","W",10,34,3,14,1,18,10,3,-24,0.166666666666667,63,18,37,2,61,97,0.315789473684211,0.376470588235294,26,0
"459","UC Santa Barbara","Big West","M",45,22,15,5,4,24,3,11,23,0.625,13,124,104,29,378,331,0.482490272373541,0.483870967741935,7,8
"460","UC Santa Barbara","Big West","W",31,21,8,5,6,19,5,4,10,0.421052631578947,31,47,85,17,159,233,0.315436241610738,0.376470588235294,26,0
"461","UCF","American Athletic","M",45,24,15,3,2,20,1,6,21,0.75,15,114,112,24,363,369,0.456,0.520547945205479,3,10
"462","UCF","American Athletic","W",33,11,11,4,4,19,3,8,22,0.578947368421053,19,58,99,13,236,292,0.341176470588235,0.481865284974093,9,0
"463","UCLA","Pacific 12","M",29,38,6,9,3,18,5,2,-9,0.333333333333333,45,37,45,12,116,132,0.393617021276596,0.504424778761062,4,0
"464","UCLA","Pacific 12","W",53,20,18,5,1,24,3,13,33,0.75,11,172,131,30,528,442,0.516516516516517,0.590733590733591,1,3
"465","UIC","Horizon League","M",46,27,12,5,1,18,1,2,19,0.666666666666667,17,87,112,22,317,353,0.393665158371041,0.43030303030303,12,0
"466","UIC","Horizon League","W",25,15,12,7,1,20,5,11,10,0.6,31,68,114,16,230,324,0.343434343434343,0.467391304347826,11,0
"467","ULM","Sun Belt","W",14,46,3,13,2,18,8,2,-32,0.166666666666667,70,24,30,3,76,96,0.421052631578947,0.431279620853081,19,0
"468","UMBC","America East","M",22,22,6,9,1,16,7,1,0,0.375,36,44,53,9,132,148,0.415094339622642,0.496551724137931,5,0
"469","UMBC","America East","W",12,32,2,13,2,17,8,1,-20,0.117647058823529,60,8,21,2,25,55,0.258064516129032,0.424050632911392,20,0
"470","UMKC","Western Athletic","M",16,35,6,11,0,17,6,3,-19,0.352941176470588,55,22,40,7,76,106,0.318840579710145,0.401785714285714,17,0
"471","UMKC","Western Athletic","W",34,18,13,4,4,21,1,9,16,0.619047619047619,25,75,128,17,280,384,0.340909090909091,0.418994413407821,23,0
"472","UNC Asheville","Big South","M",19,45,4,12,1,17,5,2,-26,0.235294117647059,60,16,51,4,75,165,0.225352112676056,0.419161676646707,13,0
"473","UNC Asheville","Big South","W",12,38,5,13,0,18,10,4,-26,0.277777777777778,65,13,50,8,65,149,0.183098591549296,0.440860215053763,15,0
"474","UNC Greensboro","Southern","M",32,25,9,9,1,19,6,5,7,0.473684210526316,29,29,83,8,128,239,0.241666666666667,0.392307692307692,21,0
"475","UNC Greensboro","Southern","W",33,29,10,8,2,20,6,6,4,0.5,37,72,89,14,228,275,0.411428571428571,0.461928934010152,13,0
"476","UNC Wilmington","Colonial Athletic Association","M",32,19,12,5,2,19,3,7,13,0.631578947368421,23,62,106,23,252,345,0.324607329842932,0.4,19,0
"477","UNC Wilmington","Colonial Athletic Association","W",33,18,10,6,1,17,2,7,15,0.588235294117647,26,67,91,11,236,278,0.396449704142012,0.463541666666667,12,0
"478","UNLV","Mountain West","W",20,41,6,13,1,20,8,4,-21,0.3,61,45,58,8,136,161,0.405405405405405,0.478632478632479,10,0
"479","UNLV","Western Athletic","M",27,37,6,12,1,19,5,2,-10,0.315789473684211,46,30,63,11,105,178,0.288461538461538,0.401785714285714,17,0
"480","USC","Pacific 12","W",47,27,17,5,1,23,2,9,20,0.739130434782609,21,181,128,43,603,470,0.514204545454545,0.590733590733591,1,8
"481","USC Upstate","Big South","M",20,38,5,12,0,17,7,3,-18,0.294117647058824,54,33,54,6,113,150,0.354838709677419,0.419161676646707,13,0
"482","USC Upstate","Big South","W",14,36,2,11,3,16,8,0,-22,0.125,62,7,12,0,17,32,0.368421052631579,0.440860215053763,15,0
"483","UT Chattanooga","Southern","W",26,15,9,6,4,19,3,8,11,0.473684210526316,30,56,85,9,177,251,0.373333333333333,0.461928934010152,13,0
"484","UT Martin","Ohio Valley","W",33,31,8,6,5,19,2,3,2,0.421052631578947,39,40,72,18,157,231,0.307692307692308,0.359223300970874,29,0
"485","Utah","Pacific 12","W",18,28,8,9,4,21,6,8,-10,0.380952380952381,51,73,71,14,209,203,0.462025316455696,0.590733590733591,1,0
"486","Utah State","Mountain West","W",21,18,8,10,1,19,7,6,3,0.421052631578947,38,64,76,13,191,219,0.418300653594771,0.478632478632479,10,0
"487","Utah Valley","Western Athletic","M",35,24,12,6,3,21,2,7,11,0.571428571428571,25,67,114,12,228,328,0.347150259067358,0.401785714285714,17,0
"488","Utah Valley","Western Athletic","W",40,28,11,9,1,21,4,6,12,0.523809523809524,29,87,102,25,265,339,0.406542056074766,0.418994413407821,23,0
"489","UTEP","Conference USA","W",28,26,10,7,3,20,2,5,2,0.5,39,55,94,16,212,285,0.333333333333333,0.49063670411985,7,0
"490","UTRGV","Western Athletic","M",21,14,8,6,2,16,3,6,7,0.5,29,59,66,9,215,225,0.440298507462687,0.401785714285714,17,0
"491","UTRGV","Western Athletic","W",27,25,9,8,3,20,5,8,2,0.45,39,25,84,6,99,273,0.217391304347826,0.418994413407821,23,0
"492","UTSA","Conference USA","W",24,23,8,8,1,17,6,5,1,0.470588235294118,40,59,80,11,225,233,0.393333333333333,0.49063670411985,7,0
"493","Valparaiso","Missouri Valley","M",22,41,4,13,1,18,7,1,-19,0.222222222222222,55,2,15,1,13,35,0.111111111111111,0.451327433628319,10,0
"494","Valparaiso","Missouri Valley","W",10,31,2,15,1,18,12,2,-21,0.111111111111111,61,7,23,3,32,63,0.212121212121212,0.409722222222222,25,0
"495","Vanderbilt","SEC","W",36,13,14,5,2,21,4,9,23,0.666666666666667,18,87,120,36,306,369,0.358024691358025,0.508896797153025,4,0
"496","VCU","Atlantic 10","M",19,23,7,8,3,18,6,4,-4,0.388888888888889,40,26,53,6,94,139,0.305882352941176,0.41025641025641,15,0
"497","VCU","Atlantic 10","W",35,23,9,6,3,18,3,4,12,0.5,29,65,74,23,237,241,0.401234567901235,0.432330827067669,18,0
"498","Vermont","America East","M",37,20,11,6,1,18,1,8,17,0.611111111111111,19,59,92,18,208,292,0.349112426035503,0.496551724137931,5,0
"499","Vermont","America East","W",13,24,3,10,3,16,3,2,-11,0.1875,52,20,28,8,59,80,0.357142857142857,0.424050632911392,20,0
"500","Villanova","Big East","M",14,14,9,8,1,18,8,8,0,0.5,36,63,80,17,202,226,0.39375,0.547368421052632,2,0
"501","Villanova","Big East","W",27,28,10,7,3,20,4,8,-1,0.5,42,60,67,21,162,189,0.405405405405405,0.453125,14,0
"502","Virginia","Atlantic Coast","M",46,13,21,1,2,24,1,15,33,0.875,5,216,136,39,700,469,0.552429667519182,0.5625,1,2
"503","Virginia","Atlantic Coast","W",63,11,17,2,3,22,0,12,52,0.772727272727273,4,161,123,36,490,403,0.503125,0.546099290780142,3,9
"504","Virginia Tech","Atlantic Coast","M",39,28,10,6,3,19,1,3,11,0.526315789473684,25,101,68,26,329,243,0.517948717948718,0.5625,1,13
"505","Virginia Tech","Atlantic Coast","W",26,15,12,5,2,19,3,9,11,0.631578947368421,30,95,95,27,322,296,0.43778801843318,0.546099290780142,3,0
"506","VMI","Southern","M",7,51,0,16,0,16,10,0,-44,0,67,NA,NA,NA,NA,NA,NA,0.392307692307692,21,0
"507","VMI","Southern","W",6,32,1,16,2,19,14,1,-26,0.0526315789473684,65,0,17,0,6,59,0,0.461928934010152,13,0
"508","Wagner","Northeast","W",20,30,5,10,3,18,6,3,-10,0.277777777777778,51,16,68,5,63,199,0.179775280898876,0.341584158415842,30,0
"509","Wake Forest","Atlantic Coast","M",46,17,16,5,2,23,3,10,29,0.695652173913043,9,158,113,40,516,420,0.508038585209003,0.5625,1,3
"510","Wake Forest","Atlantic Coast","W",29,28,6,8,4,18,2,4,1,0.333333333333333,40,53,47,14,196,146,0.464912280701754,0.546099290780142,3,0
"511","Washington","Pacific 12","M",45,14,17,4,0,21,1,12,31,0.80952380952381,7,93,99,34,305,306,0.411504424778761,0.504424778761062,4,6
"512","Washington","Pacific 12","W",26,20,12,7,2,21,6,7,6,0.571428571428571,35,132,88,30,417,306,0.528,0.590733590733591,1,0
"513","Washington State","Pacific 12","W",45,26,16,7,1,24,4,9,19,0.666666666666667,22,175,110,46,553,397,0.528700906344411,0.590733590733591,1,4
"514","Weber State","Big Sky","W",6,27,2,10,5,17,9,2,-21,0.117647058823529,61,8,29,0,26,69,0.216216216216216,0.309278350515464,31,0
"515","West Virginia","Big 12","W",35,27,12,8,2,22,4,9,8,0.545454545454545,33,115,97,32,380,308,0.471311475409836,0.495238095238095,5,0
"516","West Virginia","Mid-American","M",33,31,10,9,2,21,4,4,2,0.476190476190476,34,86,80,24,274,266,0.452631578947368,0.482456140350877,9,0
"517","Western Carolina","Southern","W",25,30,11,8,0,19,5,6,-5,0.578947368421053,46,75,101,19,236,293,0.384615384615385,0.461928934010152,13,0
"518","Western Illinois","Summit League","M",25,40,5,13,1,19,5,2,-15,0.263157894736842,51,33,51,6,98,149,0.366666666666667,0.327102803738318,22,0
"519","Western Illinois","Summit League","W",13,23,6,11,1,18,9,3,-10,0.333333333333333,51,37,63,9,104,193,0.339449541284404,0.432748538011696,17,0
"520","Western Kentucky","Conference USA","W",32,19,10,7,1,18,4,6,13,0.555555555555556,28,71,96,22,279,344,0.375661375661376,0.49063670411985,7,0
"521","Western Michigan","Mid-American","M",36,21,11,6,2,19,2,7,15,0.578947368421053,21,76,89,22,231,257,0.406417112299465,0.482456140350877,9,0
"522","Western Michigan","Mid-American","W",23,29,8,10,1,19,4,5,-6,0.421052631578947,47,42,72,15,127,198,0.325581395348837,0.419491525423729,22,0
"523","William & Mary","Colonial Athletic Association","M",26,29,7,9,2,18,4,3,-3,0.388888888888889,39,49,61,17,187,202,0.385826771653543,0.4,19,0
"524","William & Mary","Colonial Athletic Association","W",19,37,5,11,2,18,5,3,-18,0.277777777777778,58,41,44,10,117,139,0.431578947368421,0.463541666666667,12,0
"525","Winthrop","Big South","M",24,37,5,10,3,18,6,1,-13,0.277777777777778,49,18,61,4,86,184,0.216867469879518,0.419161676646707,13,0
"526","Winthrop","Big South","W",28,22,8,7,1,16,3,5,6,0.5,35,33,92,12,143,276,0.240875912408759,0.440860215053763,15,0
"527","Wisconsin","Big Ten","M",11,26,3,11,4,18,8,1,-15,0.166666666666667,51,23,28,6,65,91,0.403508771929825,0.44,11,0
"528","Wisconsin","Big Ten","W",29,12,16,4,2,22,4,12,17,0.727272727272727,24,145,111,41,440,339,0.488215488215488,0.491166077738516,6,10
"529","Wisconsin-Green Bay","Horizon League","M",16,27,6,8,2,16,6,3,-11,0.375,47,34,45,9,126,134,0.386363636363636,0.43030303030303,12,0
"530","Wisconsin-Green Bay","Horizon League","W",27,25,7,10,1,18,7,5,2,0.388888888888889,39,20,99,3,94,362,0.163934426229508,0.467391304347826,11,0
"531","Wisconsin-Milwaukee","Horizon League","M",26,21,10,6,4,20,3,6,5,0.5,31,47,85,12,173,253,0.326388888888889,0.43030303030303,12,0
"532","Wisconsin-Milwaukee","Horizon League","W",50,10,18,2,1,21,2,12,40,0.857142857142857,7,107,151,31,324,418,0.370242214532872,0.467391304347826,11,0
"533","Wofford","Southern","M",24,36,4,13,1,18,6,3,-12,0.222222222222222,48,9,38,4,50,133,0.176470588235294,0.392307692307692,21,0
"534","Wofford","Southern","W",17,32,7,12,0,19,10,3,-15,0.368421052631579,55,26,68,9,121,197,0.252427184466019,0.461928934010152,13,0
"535","Wright State","Horizon League","M",46,38,11,8,4,23,2,3,8,0.478260869565217,28,68,91,13,220,295,0.395348837209302,0.43030303030303,12,0
"536","Wright State","Horizon League","W",30,29,9,6,2,17,3,2,1,0.529411764705882,40,33,80,12,108,218,0.264,0.467391304347826,11,0
"537","Wyoming","Mountain West","W",29,30,7,7,5,19,4,1,-1,0.368421052631579,42,46,79,12,151,243,0.335766423357664,0.478632478632479,10,0
"538","Xavier","Big East","M",24,19,8,8,1,17,3,6,5,0.470588235294118,31,43,77,15,153,231,0.318518518518519,0.547368421052632,2,0
"539","Xavier","Big East","W",43,17,17,4,2,23,2,11,26,0.739130434782609,15,147,144,35,460,421,0.450920245398773,0.453125,14,24
"540","Yale","Ivy League","M",34,14,13,3,2,18,3,7,20,0.722222222222222,16,69,122,28,268,385,0.315068493150685,0.413533834586466,14,0
"541","Yale","Ivy League","W",31,14,11,4,1,16,1,6,17,0.6875,24,89,84,28,295,253,0.442786069651741,0.575757575757576,2,0
"542","Youngstown State","Horizon League","W",12,39,4,13,1,18,9,2,-27,0.222222222222222,66,19,40,10,64,118,0.27536231884058,0.467391304347826,11,0
