"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"268","Mississippi State","SEC","W",29,33,8,8,3,19,4,4,-4,0.421052631578947,45,69,69,18,243,229,0.442307692307692,0.508896797153025,4,0
"269","Mississippi Valley","Southwestern Athletic","W",14,56,1,14,1,16,9,0,-42,0.0625,74,2,10,0,16,37,0.166666666666667,0.372549019607843,28,0
"270","Missouri","SEC","W",30,36,7,10,1,18,1,2,-6,0.388888888888889,47,64,58,17,201,177,0.460431654676259,0.508896797153025,4,0
"271","Missouri State","Missouri Valley","M",43,13,18,1,1,20,0,9,30,0.9,8,65,113,20,236,320,0.328282828282828,0.451327433628319,10,16
"272","Missouri State","Missouri Valley","W",26,18,11,5,2,18,3,5,8,0.611111111111111,33,64,114,21,254,322,0.321608040201005,0.409722222222222,25,0
"273","Monmouth","Metro Athletic Conference","W",46,4,14,2,3,19,2,12,42,0.736842105263158,6,91,106,29,288,340,0.402654867256637,0.416666666666667,24,0
"274","Monmouth","Metro Atlantic Athletic Conference","M",17,32,3,12,2,17,7,0,-15,0.176470588235294,51,21,33,2,81,116,0.375,0.404040404040404,16,0
"275","Montana","Big Sky","W",15,16,7,6,6,19,5,6,-1,0.368421052631579,42,38,77,18,134,212,0.285714285714286,0.309278350515464,31,0
"276","Morehead State","Ohio Valley","W",13,40,4,12,2,18,6,3,-27,0.222222222222222,66,24,43,11,77,125,0.307692307692308,0.359223300970874,29,0
"277","Mount St. Mary's","Northeast","M",20,32,7,10,0,17,8,2,-12,0.411764705882353,48,37,66,18,146,216,0.305785123966942,0.401197604790419,18,0
"278","Mount St. Mary's","Northeast","W",8,34,3,13,1,17,10,2,-26,0.176470588235294,65,9,39,5,40,106,0.169811320754717,0.341584158415842,30,0
"279","Murray State","Ohio Valley","W",44,29,11,8,0,19,2,5,15,0.578947368421053,26,76,79,34,251,261,0.402116402116402,0.359223300970874,29,0
"280","Navy","Patriot League","M",26,10,12,4,1,17,3,10,16,0.705882352941177,20,69,114,12,254,357,0.353846153846154,0.401197604790419,18,0
"281","Navy","Patriot League","W",28,12,16,3,3,22,3,12,16,0.727272727272727,25,97,150,35,309,436,0.343971631205674,0.374331550802139,27,0
"282","NC State","Atlantic Coast","M",23,24,9,7,3,19,4,4,-1,0.473684210526316,37,69,77,15,238,231,0.428571428571429,0.5625,1,0
"283","NC State","Atlantic Coast","W",36,24,12,7,4,23,5,6,12,0.521739130434783,29,120,70,26,368,220,0.555555555555556,0.546099290780142,3,17
"284","Nebraska","Big Ten","W",12,24,4,10,4,18,8,3,-12,0.222222222222222,53,30,37,7,86,107,0.405405405405405,0.491166077738516,6,0
"285","Nevada","Mountain West","W",11,30,4,14,0,18,10,1,-19,0.222222222222222,59,28,40,7,99,117,0.373333333333333,0.478632478632479,10,0
"286","New Hampshire","America East","M",39,11,15,2,3,20,1,12,28,0.75,10,91,102,25,287,327,0.41743119266055,0.496551724137931,5,22
"287","New Hampshire","America East","W",28,18,10,8,0,18,7,6,10,0.555555555555556,31,63,94,20,200,265,0.355932203389831,0.424050632911392,20,0
"288","New Mexico","Mountain West","W",29,24,11,8,1,20,7,7,5,0.55,36,83,108,21,257,317,0.391509433962264,0.478632478632479,10,0
"289","New Mexico State","Western Athletic","W",15,36,4,12,2,18,8,1,-21,0.222222222222222,61,20,50,8,77,167,0.256410256410256,0.418994413407821,23,0
"290","Niagara","Metro Athletic Conference","W",21,30,9,8,2,19,6,5,-9,0.473684210526316,50,46,97,18,184,291,0.285714285714286,0.416666666666667,24,0
"291","Niagara","Metro Atlantic Athletic Conference","M",18,33,5,12,1,18,5,2,-15,0.277777777777778,51,32,50,5,132,151,0.367816091954023,0.404040404040404,16,0
"292","Nicholls","Southland","W",20,59,3,14,1,18,9,2,-39,0.166666666666667,73,6,27,0,30,136,0.181818181818182,0.423076923076923,21,0
"293","NJIT","ASUN","M",44,27,10,5,4,19,2,6,17,0.526315789473684,19,47,90,16,161,281,0.30718954248366,0.39344262295082,20,0
"294","NJIT","ASUN","W",20,18,7,8,3,18,8,4,2,0.388888888888889,39,36,74,14,129,232,0.290322580645161,0.432926829268293,16,0
"295","North Alabama","ASUN","W",22,30,6,11,0,17,6,4,-8,0.352941176470588,49,24,77,7,98,256,0.222222222222222,0.432926829268293,16,0
"296","North Carolina","Atlantic Coast","M",29,20,7,7,4,18,3,4,9,0.388888888888889,27,61,59,12,209,205,0.462121212121212,0.5625,1,0
"297","North Carolina","Atlantic Coast","W",69,11,24,1,2,27,1,18,58,0.888888888888889,3,224,157,49,670,544,0.52093023255814,0.546099290780142,3,2
"298","North Dakota","Summit League","W",33,26,10,8,1,19,6,6,7,0.526315789473684,34,42,103,15,139,307,0.2625,0.432748538011696,17,0
"299","North Dakota State","Summit League","W",21,18,8,7,3,18,5,5,3,0.444444444444444,38,55,84,10,173,250,0.369127516778524,0.432748538011696,17,0
"300","North Florida","ASUN","M",15,19,6,8,2,16,5,4,-4,0.375,40,30,50,5,96,158,0.352941176470588,0.39344262295082,20,0
"301","North Florida","ASUN","W",33,21,11,6,2,19,3,7,12,0.578947368421053,29,52,109,11,195,348,0.302325581395349,0.432926829268293,16,0
"302","North Texas","Conference USA","W",46,17,15,6,1,22,5,12,29,0.681818181818182,13,125,140,21,441,472,0.437062937062937,0.49063670411985,7,0
"303","Northeastern","Colonial Athletic Association","M",25,33,6,9,3,18,3,3,-8,0.333333333333333,44,20,44,5,68,137,0.289855072463768,0.4,19,0
"304","Northeastern","Colonial Athletic Association","W",35,25,8,10,1,19,4,5,10,0.421052631578947,31,52,62,12,164,211,0.412698412698413,0.463541666666667,12,0
"305","Northern Arizona","Big Sky","W",26,24,8,8,3,19,5,5,2,0.421052631578947,39,27,91,13,111,265,0.206106870229008,0.309278350515464,31,0
"306","Northern Colorado","Big Sky","W",27,44,9,11,4,24,9,3,-17,0.375,57,43,100,26,151,272,0.254437869822485,0.309278350515464,31,0
"307","Northern Illinois","Mid-American","M",29,32,7,10,1,18,3,1,-3,0.388888888888889,39,51,65,15,158,210,0.389312977099237,0.482456140350877,9,0
"308","Northern Illinois","Mid-American","W",12,44,2,14,2,18,10,1,-32,0.111111111111111,70,12,22,2,33,54,0.333333333333333,0.419491525423729,22,0
"309","Northern Iowa","Missouri Valley","W",23,35,5,11,0,16,7,3,-12,0.3125,53,19,46,7,71,144,0.263888888888889,0.409722222222222,25,0
"310","Northern Kentucky","Horizon League","M",38,31,7,10,1,18,4,3,7,0.388888888888889,29,42,59,12,162,217,0.371681415929204,0.43030303030303,12,0
"311","Northern Kentucky","Horizon League","W",27,23,9,9,0,18,7,5,4,0.5,37,69,83,14,223,246,0.41566265060241,0.467391304347826,11,0
"312","Northwestern","Big Ten","M",23,22,8,8,2,18,6,5,1,0.444444444444444,35,42,55,12,153,168,0.385321100917431,0.44,11,0
"313","Northwestern","Big Ten","W",15,27,5,10,3,18,6,2,-12,0.277777777777778,53,39,45,11,121,131,0.410526315789474,0.491166077738516,6,0
"314","Northwestern State","Southland","W",30,28,13,8,1,22,4,8,2,0.590909090909091,39,75,122,11,263,367,0.360576923076923,0.423076923076923,21,0
"315","Notre Dame","Atlantic Coast","M",29,24,10,8,1,19,5,7,5,0.526315789473684,31,83,86,23,262,252,0.432291666666667,0.5625,1,0
"316","Notre Dame","Atlantic Coast","W",31,23,11,8,2,21,6,9,8,0.523809523809524,33,79,88,22,258,272,0.417989417989418,0.546099290780142,3,0
"317","Oakland","Horizon League","M",30,29,7,9,3,19,4,4,1,0.368421052631579,35,29,61,12,107,182,0.284313725490196,0.43030303030303,12,0
"318","Oakland","Horizon League","W",21,26,7,8,3,18,4,5,-5,0.388888888888889,46,31,70,8,97,174,0.284403669724771,0.467391304347826,11,0
"319","Ohio State","Big Ten","M",21,33,7,11,1,19,4,5,-12,0.368421052631579,48,61,44,8,183,140,0.539823008849557,0.44,11,0
"320","Ohio State","Big Ten","W",17,23,4,10,4,18,3,3,-6,0.222222222222222,47,32,40,6,106,128,0.41025641025641,0.491166077738516,6,0
"321","Ohio University","Mid-American","W",39,35,11,9,1,21,4,5,4,0.523809523809524,37,56,108,15,187,316,0.312849162011173,0.419491525423729,22,0
"322","Oklahoma","Big 12","W",25,30,8,9,3,20,4,3,-5,0.4,46,60,82,13,233,239,0.387096774193548,0.495238095238095,5,0
"323","Oklahoma State","Big 12","W",50,18,16,3,3,22,1,10,32,0.727272727272727,12,137,124,25,450,391,0.479020979020979,0.495238095238095,5,19
"324","Old Dominion","Conference USA","M",16,32,3,11,1,15,5,1,-16,0.2,52,21,26,7,64,82,0.388888888888889,0.482993197278912,8,0
"325","Old Dominion","Conference USA","W",37,21,10,4,4,18,2,4,16,0.555555555555556,25,71,91,17,269,290,0.396648044692737,0.49063670411985,7,0
"326","Omaha","Summit League","M",14,25,4,9,4,17,6,1,-11,0.235294117647059,47,15,38,2,67,124,0.272727272727273,0.327102803738318,22,0
"327","Omaha","Summit League","W",14,25,5,11,2,18,8,3,-11,0.277777777777778,52,31,51,9,106,132,0.340659340659341,0.432748538011696,17,0
"328","Oral Roberts","Summit League","M",41,19,13,4,0,17,2,6,22,0.764705882352941,14,66,111,14,230,350,0.345549738219895,0.327102803738318,22,0
"329","Oral Roberts","Summit League","W",34,28,6,9,4,19,6,5,6,0.315789473684211,35,35,71,7,113,226,0.309734513274336,0.432748538011696,17,0
"330","Oregon","Pacific 12","W",26,35,5,9,5,19,6,2,-9,0.263157894736842,50,43,47,10,146,140,0.43,0.590733590733591,1,0
"331","Oregon State","Pacific 12","M",24,19,8,6,2,16,1,4,5,0.5,31,33,58,15,126,177,0.311320754716981,0.504424778761062,4,0
"332","Oregon State","Pacific 12","W",31,19,11,6,2,19,3,6,12,0.578947368421053,29,84,112,21,279,345,0.387096774193548,0.590733590733591,1,0
