Rk,Year,Conference,Schs,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP,Champion,Notes
10,2010,Ind,3,24,15,0,0.615,2,1,0,0.667,3.8,-0.56,0,,
11,2009,Ind,3,21,17,0,0.553,1,0,0,1,-0.41,-1.86,0,,
12,2008,Ind,4,20,30,0,0.4,1,1,0,0.5,-4.99,-2.15,0,,
13,2007,Ind,4,21,28,0,0.429,0,1,0,0,-6.67,-3.02,0,,
14,2006,Ind,4,23,27,0,0.46,0,2,0,0,-3.84,-1.01,1,,
15,2005,Ind,4,21,25,0,0.457,1,1,0,0.5,-0.91,1.26,1,,
16,2004,Ind,3,19,16,0,0.543,1,1,0,0.5,-4.74,-4.1,1,,
17,2003,Ind,4,28,21,0,0.571,0,1,0,0,-0.51,-2,0,,
18,2002,Ind,6,35,36,0,0.493,0,1,0,0,-2.87,-2.35,1,,
19,2001,Ind,7,32,44,0,0.421,0,0,0,,-5.63,-3.51,0,,
20,2000,Ind,9,38,63,0,0.376,0,1,0,0,-10.45,-5.67,1,,
21,1999,Ind,7,32,47,0,0.405,0,0,0,,-5.8,-2.53,0,,
22,1998,Ind,8,42,49,0,0.462,0,1,0,0,-6.32,-3.99,1,,
23,1997,Ind,9,45,57,0,0.441,0,1,0,0,-7.09,-4.8,0,,
24,1996,Ind,11,66,57,0,0.537,1,1,0,0.5,-4.07,-4.45,2,,
25,1995,Ind,12,60,73,1,0.451,1,1,0,0.5,-2.56,-1.52,1,,
26,1994,Ind,11,47,74,2,0.39,0,2,0,0,-4.78,-0.69,0,,
27,1993,Ind,10,55,56,2,0.496,2,0,0,1,-2.81,-2.48,2,record adjusted to 57-54-2 by NCAA,
28,1992,Ind,15,69,97,1,0.416,1,1,0,0.5,-4.73,-1.96,1,,
29,1991,Ind,18,95,106,5,0.473,5,0,0,1,-3.34,-1.93,5,,
30,1990,Ind,26,149,138,8,0.519,4,3,1,0.563,0.23,-0.51,5,,
31,1989,Ind,25,147,126,11,0.537,6,2,0,0.75,0.82,-0.06,6,,
32,1988,Ind,25,162,121,0,0.572,5,3,0,0.625,3.09,0.83,5,,
33,1987,Ind,24,142,127,4,0.527,2,6,1,0.278,1.02,0.2,5,record adjusted to 143-126-4 by NCAA,
34,1986,Ind,24,129,134,6,0.491,4,1,0,0.8,-0.27,0.08,4,record adjusted to 127-136-6 by NCAA,
35,1985,Ind,21,111,121,5,0.479,2,3,0,0.4,1.39,2.05,3,,
36,1984,Ind,21,122,111,6,0.523,3,4,1,0.438,2.79,2.07,4,,
37,1983,Ind,23,136,120,4,0.531,5,2,0,0.714,3.31,2.26,5,record adjusted to 139-117-4 by NCAA,
38,1982,Ind,25,139,137,3,0.504,2,3,0,0.4,0.61,0.67,4,,
39,1981,Ind,28,160,149,4,0.518,3,2,0,0.6,2.81,2.15,4,,
40,1980,Ind,30,180,156,4,0.535,4,6,0,0.4,2.16,0.83,5,,
41,1979,Ind,33,183,175,10,0.511,4,3,0,0.571,-0.68,-0.42,4,,
42,1978,Ind,33,189,176,5,0.518,3,4,0,0.429,-0.2,-0.6,2,,
43,1977,Ind,36,212,180,9,0.54,4,1,0,0.8,1.81,0.24,5,record adjusted to 213-179-9 by NCAA,
44,1976,Ind,36,194,198,3,0.495,2,1,0,0.667,-2.15,-1.64,3,record adjusted to 198-194-3 by NCAA,
45,1975,Ind,37,192,208,5,0.48,2,2,0,0.5,-2.65,-2.07,3,record adjusted to 194-206-5 by NCAA,
46,1974,Ind,37,185,217,4,0.461,2,0,1,0.833,-3.86,-2.1,3,,
47,1973,Ind,36,194,194,5,0.5,3,2,0,0.6,-2.75,-2.5,4,,
48,1972,Ind,33,167,183,8,0.478,2,3,0,0.4,-3.17,-2.34,3,,
49,1971,Ind,34,188,176,5,0.516,1,3,0,0.25,-0.96,-1.21,3,,
50,1970,Ind,30,161,156,3,0.508,3,1,0,0.75,-3.53,-3.34,6,,
51,1969,Ind,27,135,129,5,0.511,3,1,0,0.75,-1.1,-1.33,4,,
52,1968,Ind,31,173,135,4,0.561,1,2,0,0.333,-1.08,-2.79,3,,
53,1967,Ind,32,169,137,12,0.55,2,1,2,0.6,-0.1,-1.68,2,,
54,1966,Ind,32,188,128,6,0.593,1,4,0,0.2,1.84,-1.21,3,,
55,1965,Ind,32,156,147,14,0.514,2,0,0,1,-1.99,-2.96,1,,
56,1964,Ind,32,145,154,13,0.486,1,1,0,0.5,-2.42,-2.29,1,,
57,1963,Ind,33,152,153,13,0.498,1,2,0,0.333,-2.95,-2.86,2,,
58,1962,Ind,34,173,159,7,0.521,3,3,0,0.5,-1.23,-1.62,1,,
59,1961,Ind,27,147,117,3,0.556,3,1,0,0.75,-0.81,-2.47,4,,
60,1960,Ind,27,129,126,11,0.506,1,2,0,0.333,-2.02,-2.58,3,,
61,1959,Ind,27,132,131,3,0.502,2,0,0,1,-1.26,-1.15,4,,
62,1958,Ind,23,120,97,7,0.551,1,2,1,0.375,1.22,-0.33,6,,
63,1957,Ind,23,113,97,9,0.537,1,1,0,0.5,-0.3,-2.07,3,,
64,1956,Ind,22,97,97,14,0.5,0,2,0,0,-2.84,-2.59,4,,
65,1955,Ind,28,121,124,8,0.494,0,1,0,0,-4.22,-4.18,5,,
66,1954,Ind,29,140,121,8,0.535,1,1,0,0.5,-1.61,-2.33,5,,
67,1953,Ind,28,120,114,21,0.512,0,0,0,,-2.31,-2.96,2,,
68,1952,Ind,33,159,129,18,0.549,1,1,0,0.5,0.09,-1.42,5,,
69,1951,Ind,32,154,134,8,0.534,1,1,0,0.5,1.7,0.11,6,,
70,1950,Ind,38,173,166,13,0.51,0,1,0,0,0.3,-0.48,4,,
71,1949,Ind,36,184,141,6,0.565,1,1,0,0.5,2.05,-0.59,7,,
72,1948,Ind,36,178,141,13,0.556,2,1,0,0.667,1.79,-0.23,5,,
73,1947,Ind,39,175,167,16,0.511,1,1,1,0.5,-0.12,-0.73,5,,
74,1946,Ind,39,182,157,13,0.536,0,1,1,0.25,1.93,0.64,4,,
75,1945,Ind,35,160,123,15,0.562,1,2,0,0.333,2.02,-0.03,7,,
76,1944,Ind,39,197,129,20,0.598,0,0,0,,3.06,-0.1,10,,
77,1943,Ind,34,166,110,12,0.597,0,0,0,,4.2,0.84,11,,
78,1942,Ind,39,205,136,24,0.595,0,1,0,0,3.84,0.66,5,,
79,1941,Ind,37,183,133,13,0.576,1,0,0,1,3.05,0.62,5,,
80,1940,Ind,41,188,152,22,0.55,1,2,0,0.333,2.11,-0.1,7,record adjusted to 188-150-24 by NCAA,
81,1939,Ind,42,192,145,29,0.564,0,1,0,0,2.96,0.52,6,,
82,1938,Ind,40,199,133,17,0.595,1,1,0,0.5,4.08,0.09,8,,
83,1937,Ind,39,193,121,38,0.602,2,1,0,0.667,5.35,1.23,8,,
84,1936,Ind,44,227,149,28,0.597,3,1,1,0.7,3.73,-0.14,10,,
85,1935,Ind,46,222,163,26,0.572,0,0,0,,2.16,-1.24,,,
86,1934,Ind,45,239,144,20,0.618,1,1,0,0.5,2.97,-1.27,,,
87,1933,Ind,46,221,146,36,0.593,1,0,1,0.75,2.57,-0.88,,,
88,1932,Ind,40,204,113,28,0.632,0,1,0,0,3.34,-1.68,,,
89,1931,Ind,32,180,93,23,0.647,0,0,0,,5.35,-0.71,,,
90,1930,Ind,33,194,93,21,0.664,0,0,0,,5.28,-1.48,,,
91,1929,Ind,27,153,75,19,0.658,0,1,0,0,4.4,-2.04,,,
92,1928,Ind,27,143,84,16,0.621,0,0,0,,3.93,-1.82,,,
93,1927,Ind,29,163,75,26,0.667,0,1,0,0,5.97,-1.19,,,
94,1926,Ind,26,153,68,16,0.679,0,0,0,,4.93,-2.01,,,
95,1925,Ind,34,189,102,19,0.64,0,0,0,,3.64,-2.27,,,
96,1924,Ind,42,193,145,26,0.566,1,0,0,1,-0.2,-2.51,,,
97,1923,Ind,42,223,122,26,0.636,0,0,1,0.5,3.7,-1.29,,,
98,1922,Ind,45,234,156,26,0.594,1,2,0,0.333,2.5,-1.47,,,
99,1921,Ind,48,240,156,34,0.598,1,1,1,0.5,2.61,-1.2,,,
100,1920,Ind,56,291,176,29,0.616,1,1,0,0.5,3.93,-0.66,,,
101,1919,Ind,60,300,179,39,0.617,1,0,0,1,4.51,-0.06,,,
102,1918,Ind,38,118,76,10,0.603,1,1,0,0.5,1.76,-1.63,,,
103,1917,Ind,51,246,154,21,0.609,1,0,0,1,2.39,-1.21,,,
104,1916,Ind,55,286,167,28,0.624,0,1,0,0,4.44,-0.87,,,
105,1915,Ind,54,278,155,33,0.632,0,1,0,0,4.55,-1,,,
106,1914,Ind,59,318,167,39,0.644,0,0,0,,4.33,-1.48,,,
107,1913,Ind,53,286,142,28,0.658,0,0,0,,5.03,-0.89,,,
108,1912,Ind,55,293,159,19,0.642,0,0,0,,3.87,-1.59,,,
109,1911,Ind,50,264,130,46,0.652,0,0,0,,4.33,-1.08,,,
110,1910,Ind,53,255,157,30,0.611,0,0,0,,3.58,-0.46,,record adjusted to 256-158-28 by NCAA,
111,1909,Ind,60,297,148,45,0.652,0,0,0,,3.74,-1.61,,,
112,1908,Ind,53,287,139,37,0.66,0,0,0,,3.58,-1.58,,,
113,1907,Ind,57,295,162,27,0.637,0,0,0,,3.27,-1.14,,,
114,1906,Ind,56,268,150,58,0.624,0,0,0,,2.7,-1.25,,,
115,1905,Ind,73,402,239,34,0.621,0,0,0,,2.71,-1.56,,,
116,1904,Ind,72,347,248,30,0.579,0,0,0,,0.91,-1.63,,,
117,1903,Ind,61,345,207,21,0.62,0,0,0,,3.26,-1.28,,,
118,1902,Ind,63,316,203,48,0.6,0,0,0,,1.9,-1.54,,,
119,1901,Ind,36,207,142,24,0.587,0,0,0,,1.71,-1.29,,,
120,1900,Ind,32,196,111,20,0.63,0,0,0,,2.94,-1.22,,,
121,1899,Ind,34,204,127,18,0.61,0,0,0,,2.66,-1.07,,,
122,1898,Ind,24,140,89,14,0.605,0,0,0,,3.44,-0.13,,,
123,1897,Ind,21,125,76,15,0.613,0,0,0,,3.61,0.37,,,
124,1896,Ind,23,127,77,17,0.613,0,0,0,,2.58,-0.34,,,
125,1895,Ind,27,157,95,9,0.619,0,0,0,,2.29,-1.01,,,
126,1894,Ind,27,167,94,5,0.637,0,0,0,,2.58,-1.46,,,
127,1893,Ind,26,135,94,19,0.583,0,0,0,,1.2,-1.2,,,
128,1892,Ind,27,170,92,11,0.643,0,0,0,,3.56,-1.51,,,
129,1891,Ind,26,141,103,10,0.575,0,0,0,,0.15,-1.11,,,
130,1890,Ind,18,110,64,7,0.627,0,0,0,,2.21,-1.21,,,
131,1889,Ind,21,104,77,14,0.569,0,0,0,,0.59,-1.4,,,
132,1888,Ind,18,89,70,4,0.558,0,0,0,,-0.2,-0.24,,,
133,1887,Ind,15,70,52,3,0.572,0,0,0,,2.87,-0.27,,,
134,1886,Ind,14,66,52,7,0.556,0,0,0,,0.73,-0.17,,,
135,1885,Ind,7,33,22,4,0.593,0,0,0,,2.04,-0.97,,,
136,1884,Ind,9,41,28,3,0.59,0,0,0,,-0.04,-1.47,,,
137,1883,Ind,10,44,31,2,0.584,0,0,0,,1.8,0.09,,,
138,1882,Ind,13,36,30,1,0.545,0,0,0,,-0.98,0.15,,,
139,1881,Ind,10,25,21,9,0.536,0,0,0,,0.08,0.41,,,
140,1880,Ind,8,17,14,4,0.543,0,0,0,,0.64,1.02,,,
141,1879,Ind,7,13,10,15,0.539,0,0,0,,0.89,0.18,,,
142,1878,Ind,9,16,12,6,0.559,0,0,0,,-0.85,-0.39,,,
143,1877,Ind,8,13,11,2,0.538,0,0,0,,0.53,-0.42,,,
144,1876,Ind,7,14,10,0,0.583,0,0,0,,1.79,-0.11,,,
145,1875,Ind,6,16,7,2,0.68,0,0,0,,2.56,-0.36,,,
146,1874,Ind,5,10,9,0,0.526,0,0,0,,1.21,-0.66,,,
147,1873,Ind,5,8,5,0,0.615,0,0,0,,2.8,0.47,,,
148,1872,Ind,5,4,4,2,0.5,0,0,0,,0.7,-0.35,,,
149,1870,Ind,3,2,2,0,0.5,0,0,0,,0,0,,,
150,1869,Ind,2,2,2,0,0.5,0,0,0,,0,0,,,
