ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
1,Jordan Huff,200 Y Free,Timed Finals,1st,01:39.6,,767,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
2,Iowa (A),200 Y Medley Relay,Timed Finals,–,01:30.0,,763,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
3,Tyler Lentz,200 Y Fly,Timed Finals,2nd,01:49.5,,746,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
4,Iowa (A),400 Y Free Relay,Timed Finals,–,03:03.2,,744,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
5,Roman Trussov,100 Y Breast,Timed Finals,1st,55.73,,724,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
6,David Belzer,1000 Y Free,Timed Finals,1st,09:36.0,,721,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
7,Jordan Huff,100 Y Free,Timed Finals,1st,45.49,,719,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
8,Patrick Weigand,500 Y Free,Timed Finals,1st,04:37.5,,719,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
9,Tyler Lentz,400 Y IM,Timed Finals,1st,03:59.6,,717,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
10,grant betulius,100 Y Back,Timed Finals,1st,49.3,,714,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
11,Korey Schneider,100 Y Breast,Timed Finals,2nd,56.05,,712,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
12,Dustin Rhoads,100 Y Back,Timed Finals,2nd,49.47,,707,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
13,Patrick Weigand,1000 Y Free,Timed Finals,2nd,09:40.1,,706,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
14,Brian Donatelli,50 Y Free,Timed Finals,1st,20.79,,701,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
15,michael ubert,1000 Y Free,Timed Finals,3rd,09:43.2,,695,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
16,Brian Donatelli,100 Y Free,Timed Finals,–,46.03,R,694,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
17,Gianni Sesto,50 Y Free,Timed Finals,2nd,20.87,,693,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
18,Gianni Sesto,100 Y Free,Timed Finals,2nd,46.08,,692,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
19,Luke Snow,200 Y Free,Timed Finals,4th,01:43.1,,692,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
20,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:33.0,,691,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
21,Brian Donatelli,100 Y Free,Timed Finals,3rd,46.29,,683,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
22,Max Behles,200 Y Free,Timed Finals,5th,01:43.8,,678,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
23,Dustin Rhoads,200 Y Back,Timed Finals,2nd,01:50.3,,676,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
24,Max Behles,500 Y Free,Timed Finals,2nd,04:43.2,,676,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
25,Mitchell Taylor,100 Y Fly,Timed Finals,3rd,50.41,,673,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
26,Iowa (B),400 Y Free Relay,Timed Finals,–,03:10.2,,665,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
27,Roman Trussov,200 Y Breast,Timed Finals,1st,02:04.5,,665,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
28,Andrew Marciniak,100 Y Breast,Timed Finals,3rd,57.43,,662,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
29,Dustin Rhoads,50 Y Back,Timed Finals,–,22.75,R,659,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
30,Iowa (C),400 Y Free Relay,Timed Finals,–,03:11.0,,656,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
31,Donald Warren,400 Y IM,Timed Finals,–,04:07.0,,655,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
32,grant betulius,100 Y Free,Timed Finals,–,47.19,R,644,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
33,Mitchell Taylor,50 Y Free,Timed Finals,5th,21.41,,642,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
34,Chris Freeman,200 Y Back,Timed Finals,3rd,01:52.2,,642,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
35,Devon Meeks,100 Y Fly,Timed Finals,5th,51.24,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
36,Luke Snow,100 Y Free,Timed Finals,–,47.28,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
37,Seth Lane,50 Y Free,Timed Finals,–,21.42,,641,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
38,michael ubert,500 Y Free,Timed Finals,5th,04:48.5,,640,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
39,grant betulius,200 Y Back,Timed Finals,4th,01:52.4,,639,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
40,Quillan Oak,100 Y Breast,Timed Finals,–,58.17,,637,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
41,Michael Vinyard,200 Y Fly,Timed Finals,3rd,01:55.6,,635,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
42,Devon Meeks,50 Y Free,Timed Finals,–,21.49,,635,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
43,Maverick Hovey,200 Y Fly,Timed Finals,4th,01:55.7,,632,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
44,Iowa (C),200 Y Medley Relay,Timed Finals,–,01:36.2,,626,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
45,Donald Warren,100 Y Back,Timed Finals,4th,51.55,,625,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
46,David Belzer,400 Y IM,Timed Finals,–,04:10.9,,624,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
47,Maverick Hovey,100 Y Fly,Timed Finals,6th,51.77,,622,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
48,Michael Vinyard,400 Y IM,Timed Finals,–,04:12.0,,617,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
49,Tyler Nichols,100 Y Fly,Timed Finals,–,52.01,,613,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
50,Andrew Marciniak,200 Y Breast,Timed Finals,3rd,02:08.0,,611,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
51,Quillan Oak,200 Y Breast,Timed Finals,4th,02:08.1,,610,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
52,Seth Lane,100 Y Free,Timed Finals,–,48.17,,606,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
53,Tyler Nichols,100 Y Breast,Timed Finals,–,59.63,,591,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
54,Devon Meeks,50 Y Back,Timed Finals,–,23.94,R,566,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
55,Donald Warren,50 Y Back,Timed Finals,–,24.65,R,518,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
56,Addison Boschult,3M Diving,Timed Finals,1st,289.95,,–,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
57,Addison Boschult,1M Diving,Timed Finals,2nd,231.53,,–,Michigan State vs. Iowa,19-Oct-12,SCY,M,2012-2013
1,Becky Stoughton,1000 Y Free,Timed Finals,1st,09:58.6,,779,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
2,Olivia Kabacinski,50 Y Free,Timed Finals,1st,23.23,,768,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
3,Iowa (A),400 Y Free Relay,Timed Finals,–,03:28.2,,753,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
4,Olivia Kabacinski,200 Y Free,Timed Finals,1st,01:50.0,,730,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
5,Heather Arseth,100 Y Free,Timed Finals,1st,51.61,,722,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
6,Lindsay Seemann,400 Y IM,Timed Finals,1st,04:26.2,,702,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
7,Iowa (A),200 Y Medley Relay,Timed Finals,–,01:46.3,,698,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
8,Iowa (B),400 Y Free Relay,Timed Finals,–,03:34.5,,688,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
9,Hillary Weigand,1000 Y Free,Timed Finals,2nd,10:24.7,,685,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
10,Emily Hovren,100 Y Free,Timed Finals,4th,52.57,,683,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
11,Lindsay Seemann,200 Y Back,Timed Finals,1st,02:02.7,,679,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
12,Margaret Hofstadter,50 Y Free,Timed Finals,4th,24.24,,676,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
13,Emily Hovren,200 Y Free,Timed Finals,2nd,01:53.1,,673,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
14,Allison Orvis,100 Y Free,Timed Finals,–,52.87,R,671,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
15,Audrey Kumm,100 Y Fly,Timed Finals,2nd,57.39,,662,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
16,Ashley Horodyski,100 Y Fly,Timed Finals,3rd,57.42,,661,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
17,Allison Orvis,100 Y Fly,Timed Finals,4th,57.45,,660,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
18,Karolina Wartalowicz,100 Y Breast,Timed Finals,1st,01:05.8,,658,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
19,Lauren Eytalis,1000 Y Free,Timed Finals,5th,10:34.7,,653,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
20,Lauren Drennan,100 Y Fly,Timed Finals,–,57.65,,653,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
21,Karolina Wartalowicz,200 Y Breast,Timed Finals,1st,02:23.1,,652,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
22,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:48.8,,650,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
23,Margaret Hofstadter,100 Y Free,Timed Finals,6th,53.47,,649,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
24,Heather Arseth,100 Y Back,Timed Finals,1st,57.71,,649,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
25,Emily Christiansen,500 Y Free,Timed Finals,1st,05:08.6,,644,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
26,Pamela Breitrick,400 Y IM,Timed Finals,–,04:34.0,,644,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
27,Hillary Weigand,500 Y Free,Timed Finals,2nd,05:09.3,,640,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
28,Emily Christiansen,200 Y Free,Timed Finals,4th,01:55.0,,640,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
29,Audrey Kumm,200 Y Fly,Timed Finals,3rd,02:07.7,,638,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
30,Heather Arseth,50 Y Back,Timed Finals,–,27.07,R,637,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
31,Hannah Maher,200 Y Breast,Timed Finals,2nd,02:24.4,,635,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
32,Lauren Eytalis,500 Y Free,Timed Finals,4th,05:10.5,,633,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
33,Iowa (C),200 Y Medley Relay,Timed Finals,–,01:49.9,,630,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
34,Hannah Maher,100 Y Breast,Timed Finals,2nd,01:07.2,,619,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
35,Pamela Breitrick,200 Y Fly,Timed Finals,5th,02:09.1,,617,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
36,Iowa (C),400 Y Free Relay,Timed Finals,–,03:42.8,,615,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
37,Haley Gordon,400 Y IM,Timed Finals,–,04:38.1,,615,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
38,Maddie Bro,100 Y Back,Timed Finals,3rd,59.11,,604,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
39,Pamela Breitrick,200 Y Back,Timed Finals,3rd,02:07.8,,601,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
40,Emily Christiansen,100 Y Free,Timed Finals,–,54.97,R,597,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
41,Lauren Drennan,50 Y Free,Timed Finals,6th,25.26,,597,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
42,Colleen Champa,200 Y Breast,Timed Finals,6th,02:27.8,,591,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
43,Haley Gordon,200 Y Fly,Timed Finals,6th,02:11.8,,579,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
44,Genevieve Groya,100 Y Back,Timed Finals,6th,01:00.1,,574,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
45,Colleen Champa,100 Y Breast,Timed Finals,5th,01:09.1,,568,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
46,Genevieve Groya,50 Y Back,Timed Finals,–,28.5,R,546,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
47,Genevieve Groya,200 Y Back,Timed Finals,5th,02:13.5,,527,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
48,Maddie Bro,50 Y Back,Timed Finals,–,29.03,R,516,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
49,Lauren Kelba,3M Diving,Timed Finals,4th,230.25,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
50,Abigail Grilli,3M Diving,Timed Finals,2nd,289.57,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
51,Joelle Christy,3M Diving,Timed Finals,3rd,271.65,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
52,Lauren Kelba,1M Diving,Timed Finals,3rd,234.6,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
53,Abigail Grilli,1M Diving,Timed Finals,4th,212.77,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
54,Joelle Christy,1M Diving,Timed Finals,2nd,242.85,,–,Michigan State vs. Iowa,19-Oct-12,SCY,W,2012-2013
1,Iowa (A),400 Y Free Relay,Timed Finals,–,02:59.8,,788,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
2,Byron Butler,100 Y Fly,Timed Finals,2nd,47.97,,781,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
3,David Belzer,1000 Y Free,Timed Finals,3rd,09:21.5,,778,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
4,Jordan Huff,200 Y Free,Timed Finals,1st,01:39.2,,777,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
5,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:29.9,,766,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
6,David Ernstsson,200 Y Free,Timed Finals,4th,01:39.7,,765,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
7,David Belzer,500 Y Free,Timed Finals,3rd,04:32.5,,759,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
8,Tyler Lentz,200 Y Fly,Timed Finals,2nd,01:49.2,,752,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
9,Roman Trussov,100 Y Breast,Timed Finals,1st,55.08,,750,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
10,Byron Butler,200 Y Fly,Timed Finals,3rd,01:49.4,,749,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
11,Dustin Rhoads,100 Y Back,Timed Finals,1st,48.55,,748,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
12,Jordan Huff,100 Y Free,Timed Finals,1st,45.01,,743,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
13,Chris Freeman,500 Y Free,Timed Finals,5th,04:35.3,,736,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
14,Tyler Lentz,200 Y IM,Timed Finals,2nd,01:51.0,,734,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
15,Roman Trussov,200 Y Breast,Timed Finals,1st,02:00.6,,731,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
16,grant betulius,100 Y Back,Timed Finals,2nd,48.95,,730,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
17,Patrick Weigand,1000 Y Free,Timed Finals,5th,09:34.0,,729,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
18,Jack Allen,200 Y Free,Timed Finals,6th,01:41.3,,729,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
19,Iowa (B),400 Y Free Relay,Timed Finals,–,03:04.8,,725,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
20,Chris Freeman,200 Y Free,Timed Finals,7th,01:42.1,,713,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
21,Brian Donatelli,100 Y Free,Timed Finals,–,45.78,R,706,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
22,grant betulius,200 Y Back,Timed Finals,2nd,01:48.8,,705,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
23,Patrick Weigand,500 Y Free,Timed Finals,6th,04:39.2,,705,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
24,Dustin Rhoads,200 Y Back,Timed Finals,3rd,01:48.9,,703,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
25,Korey Schneider,100 Y Breast,Timed Finals,4th,56.34,,701,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
26,Andrew Parker,200 Y Back,Timed Finals,4th,01:49.0,,701,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
27,Brian Donatelli,50 Y Free,Timed Finals,3rd,20.81,,699,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
28,Andrew Marciniak,200 Y Breast,Timed Finals,2nd,02:02.7,,695,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
29,Brian Donatelli,100 Y Free,Timed Finals,5th,46.02,,695,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
30,Andrew Marciniak,100 Y Breast,Timed Finals,5th,56.53,,694,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
31,Iowa (C),200 Y Medley Relay,Timed Finals,–,01:33.1,,690,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
32,Kyle Noser,200 Y IM,Timed Finals,4th,01:53.3,,689,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
33,David Ernstsson,100 Y Free,Timed Finals,7th,46.17,,688,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
34,Roman Trussov,200 Y IM,Timed Finals,5th,01:53.4,,687,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
35,Gianni Sesto,50 Y Free,Timed Finals,4th,20.94,,686,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
36,Gianni Sesto,100 Y Free,Timed Finals,8th,46.32,,681,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
37,Mitchell Taylor,100 Y Fly,Timed Finals,3rd,50.21,,681,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
38,Iowa (C),400 Y Free Relay,Timed Finals,–,03:09.0,,677,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
39,grant betulius,100 Y Fly,Timed Finals,4th,50.38,,674,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
40,Jack Allen,100 Y Fly,Timed Finals,5th,50.41,,673,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
41,Luke Snow,100 Y Free,Timed Finals,–,46.71,R,664,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
42,Andrew Parker,100 Y Back,Timed Finals,3rd,50.52,,664,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
43,Kyle Noser,200 Y Breast,Timed Finals,6th,02:04.8,,660,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
44,grant betulius,50 Y Back,Timed Finals,–,22.82,R,653,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
45,Donald Warren,200 Y Back,Timed Finals,6th,01:51.9,,648,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
46,Mitchell Taylor,50 Y Free,Timed Finals,6th,21.38,,645,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
47,Quillan Oak,100 Y Breast,Timed Finals,7th,58.1,,639,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
48,Luke Snow,50 Y Free,Timed Finals,7th,21.52,,632,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
49,Maverick Hovey,200 Y Fly,Timed Finals,7th,01:55.7,,632,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
50,Devon Meeks,100 Y Back,Timed Finals,6th,51.42,,630,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
51,Donald Warren,1000 Y Free,Timed Finals,7th,10:04.1,,625,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
52,Quillan Oak,200 Y Breast,Timed Finals,7th,02:08.5,,605,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
53,Donald Warren,200 Y IM,Timed Finals,7th,01:58.7,,599,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
54,Devon Meeks,50 Y Back,Timed Finals,–,23.89,R,569,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
55,Addison Boschult,3M Diving,Timed Finals,3rd,271.8,,–,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
56,Addison Boschult,1M Diving,Timed Finals,2nd,277.27,,–,Minnesota vs. Iowa,2-Nov-12,SCY,M,2012-2013
1,Becky Stoughton,500 Y Free,Timed Finals,2nd,04:47.8,,795,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
2,Becky Stoughton,1000 Y Free,Timed Finals,1st,09:57.6,,783,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
3,Olivia Kabacinski,50 Y Free,Timed Finals,1st,23.12,,779,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
4,Iowa (A),400 Y Free Relay,Timed Finals,–,03:27.2,,764,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
5,Olivia Kabacinski,100 Y Free,Timed Finals,–,50.86,R,754,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
6,Iowa (A),200 Y Medley Relay,Timed Finals,–,01:43.8,,749,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
7,Olivia Kabacinski,200 Y Free,Timed Finals,3rd,01:49.2,,747,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
8,Emily Hovren,200 Y Free,Timed Finals,5th,01:49.9,,734,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
9,Heather Arseth,100 Y Free,Timed Finals,3rd,51.71,,717,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
10,Emily Hovren,100 Y Free,Timed Finals,4th,51.95,,707,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
11,Iowa (B),400 Y Free Relay,Timed Finals,–,03:32.8,,705,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
12,Hillary Weigand,1000 Y Free,Timed Finals,6th,10:21.1,,697,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
13,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:46.7,,689,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
14,Elizabeth Tuchscherer,100 Y Fly,Timed Finals,2nd,56.61,,689,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
15,Margaret Hofstadter,50 Y Free,Timed Finals,6th,24.14,,684,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
16,Karolina Wartalowicz,200 Y Breast,Timed Finals,2nd,02:20.9,,683,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
17,Becky Stoughton,200 Y IM,Timed Finals,2nd,02:07.0,,682,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
18,Karolina Wartalowicz,100 Y Breast,Timed Finals,3rd,01:05.0,,682,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
19,Elizabeth Tuchscherer,200 Y Fly,Timed Finals,3rd,02:05.3,,676,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
20,Ashley Horodyski,100 Y Fly,Timed Finals,3rd,57.07,,673,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
21,Lindsay Seemann,200 Y Free,Timed Finals,7th,01:53.2,,671,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
22,Lauren Eytalis,1000 Y Free,Timed Finals,7th,10:30.4,,667,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
23,Hannah Maher,200 Y Breast,Timed Finals,3rd,02:22.0,,667,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
24,Iowa (C),400 Y Free Relay,Timed Finals,–,03:37.4,,661,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
25,Hannah Maher,100 Y Breast,Timed Finals,6th,01:05.8,,657,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
26,Allison Orvis,200 Y IM,Timed Finals,3rd,02:08.6,,656,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
27,Heather Arseth,100 Y Back,Timed Finals,2nd,57.53,,655,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
28,Taylor Newgaard,1000 Y Free,Timed Finals,8th,10:34.7,,654,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
29,Haley Gordon,200 Y IM,Timed Finals,4th,02:08.8,,653,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
30,Hillary Weigand,500 Y Free,Timed Finals,3rd,05:07.5,,651,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
31,Margaret Hofstadter,100 Y Free,Timed Finals,7th,53.4,,651,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
32,Pamela Breitrick,200 Y Fly,Timed Finals,6th,02:07.3,,643,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
33,Elaine Boosalis,200 Y IM,Timed Finals,5th,02:09.9,,638,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
34,Lauren Eytalis,500 Y Free,Timed Finals,4th,05:09.8,,637,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
