id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
322520251,2012,2,regular,2012-09-08T20:00:00.000Z,,false,false,100990,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,45,7,10,14,14,0.9698869660967743,167,New Mexico,Mountain West,0,0,0,0,0,0.030113033903225728,1.86658699074612
322520012,2012,2,regular,2012-09-08T22:30:00.000Z,,false,false,45602,3619,Arizona Stadium,12,Arizona,Pac-12,59,10,13,14,22,0.8440762884016829,197,Oklahoma State,Big 12,38,14,0,17,7,0.15592371159831708,5.0259912476996
322592305,2012,3,regular,2012-09-15T12:00:00.000Z,,false,true,43867,3833,Memorial Stadium,2305,Kansas,Big 12,6,3,3,0,0,0.4936578698630732,2628,TCU,Big 12,20,7,3,10,0,0.5063421301369269,4.67677176790704
322590197,2012,3,regular,2012-09-15T12:00:00.000Z,,false,false,56062,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,65,17,27,14,7,0.9979901475652423,309,Louisiana,Sun Belt,24,0,0,10,14,0.0020098524347577085,1.26396906084225
322590277,2012,3,regular,2012-09-15T16:30:00.000Z,,true,false,45511,,,277,West Virginia,Big 12,42,21,7,7,7,0.9994254246918288,256,James Madison,,12,0,3,2,7,0.0005745753081711769,3.09374816779097
322592306,2012,3,regular,2012-09-15T19:00:00.000Z,,false,false,50290,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,35,7,7,7,14,0.9394601855149642,249,North Texas,Sun Belt,21,7,0,6,8,0.06053981448503576,3.58437464204667
322592641,2012,3,regular,2012-09-15T19:00:00.000Z,,false,false,58955,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,49,14,28,7,0,0.9988462122480635,167,New Mexico,Mountain West,14,0,14,0,0,0.0011537877519365303,2.24424768557173
322590239,2012,3,regular,2012-09-15T19:05:00.000Z,,false,false,44856,3724,Floyd Casey Stadium,239,Baylor,Big 12,48,3,7,14,24,0.9856474362620948,2534,Sam Houston State,,23,3,17,0,3,0.014352563737905166,6.84684117628589
322590066,2012,3,regular,2012-09-15T20:00:00.000Z,,false,false,55783,3772,Jack Trice Stadium,66,Iowa State,Big 12,37,14,7,10,6,0.9994432109020019,2710,Western Illinois,,3,0,0,0,3,0.0005567890979980561,1.93602334481574
322590145,2012,3,regular,2012-09-15T21:26:00.000Z,,false,false,61797,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,31,0,10,14,7,0.6281958654884096,251,Texas,Big 12,66,10,21,21,14,0.37180413451159045,2.95835970487226
322652433,2012,4,regular,2012-09-21T20:00:00.000Z,,false,false,31175,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,42,14,7,7,14,0.9106572910771156,239,Baylor,Big 12,47,0,24,10,13,0.08934270892288443,6.62810941019895
322662628,2012,4,regular,2012-09-22T12:00:00.000Z,,false,false,46330,3616,Amon G. Carter Stadium,2628,TCU,Big 12,27,7,7,6,7,0.9450269565816627,258,Virginia,ACC,7,0,0,0,7,0.05497304341833731,2.05874411033693
