offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Minnesota,Big Ten,Northwestern,Big Ten,401112236,4011122368,8,true,2,94,94,9,41,2,94,94,9,32,,9,1,-6,SF
Northwestern,Big Ten,Minnesota,Big Ten,401112236,4011122369,9,true,2,31,69,9,32,2,100,0,2,52,6,40,14,69,TD
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223610,10,false,2,76,76,2,52,2,54,54,1,37,1,15,4,22,PUNT
Northwestern,Big Ten,Minnesota,Big Ten,401112236,40111223611,11,false,2,12,88,1,37,2,21,79,0,39,,58,3,9,FUMBLE
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223612,12,false,2,54,54,0,39,2,54,54,0,34,,5,1,0,INT
Northwestern,Big Ten,Minnesota,Big Ten,401112236,40111223613,13,false,2,40,60,0,34,2,43,57,0,0,,34,3,3,END OF HALF
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223614,14,true,3,73,73,15,0,3,0,0,10,3,4,57,11,73,TD
Northwestern,Big Ten,Minnesota,Big Ten,401112236,40111223615,15,true,3,36,64,10,3,3,100,0,3,27,6,36,15,64,TD
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223616,16,true,3,62,62,3,27,4,0,0,13,20,5,7,10,62,TD
Northwestern,Big Ten,Minnesota,Big Ten,401112236,40111223617,17,false,4,38,62,13,20,4,42,58,11,53,1,27,3,4,PUNT
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223618,18,true,4,80,80,11,53,4,20,20,6,14,5,39,10,60,FG
Northwestern,Big Ten,Minnesota,Big Ten,401112236,40111223619,19,true,4,23,77,6,14,4,100,0,2,1,4,13,8,77,TD
Minnesota,Big Ten,Northwestern,Big Ten,401112236,40111223620,20,false,4,43,43,2,1,4,29,29,0,0,2,1,3,14,END OF 4TH QUARTER
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,4011122371,1,false,1,90,90,15,0,1,81,81,12,45,2,15,3,9,PUNT
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,4011122372,2,true,1,49,51,12,45,1,100,0,12,30,,15,2,51,TD
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,4011122373,3,false,1,75,75,12,30,1,56,56,9,36,2,54,5,19,PUNT
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,4011122374,4,false,1,23,77,9,36,1,60,40,3,30,6,6,9,37,PUNT
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,4011122375,5,false,1,91,91,3,30,2,31,31,13,55,4,35,11,59,FUMBLE
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,4011122376,6,false,2,32,68,13,55,2,31,69,12,17,1,38,3,-1,INT
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,4011122377,7,true,2,27,27,12,17,2,8,8,8,56,3,21,8,19,FG
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,4011122378,8,false,2,25,75,8,56,2,50,50,6,27,2,29,5,25,PUNT
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,4011122379,9,true,2,82,82,6,27,2,0,0,2,49,3,38,7,82,TD
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223710,10,false,2,25,75,2,49,2,44,56,0,10,2,39,6,19,PUNT
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223711,11,false,2,87,87,0,10,2,87,87,0,0,,10,1,0,END OF HALF
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223712,12,false,3,25,75,15,0,3,49,51,11,44,3,16,6,24,PUNT
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223713,13,true,3,91,91,11,44,3,0,0,9,52,1,52,4,91,TD
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223714,14,true,3,19,81,9,52,3,80,20,6,51,3,1,7,61,FG
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223715,15,true,3,39,39,6,51,3,0,0,5,52,,59,2,39,TD
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223716,16,false,3,25,75,5,52,4,96,4,14,15,6,37,14,71,DOWNS
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223717,17,true,4,96,96,14,15,4,0,0,11,5,3,10,6,96,TD
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223718,18,false,4,20,80,11,5,4,20,80,10,48,,17,1,-2,FUMBLE
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223719,19,true,4,18,18,10,48,4,0,0,8,41,2,7,4,18,TD
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223720,20,true,4,25,75,8,41,4,100,0,5,51,2,50,10,75,TD
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223721,21,false,4,46,46,5,51,4,39,39,4,0,1,51,3,7,PUNT
Minnesota,Big Ten,Wisconsin,Big Ten,401112237,40111223722,22,false,4,5,95,4,0,4,48,52,2,26,1,34,5,40,DOWNS
Wisconsin,Big Ten,Minnesota,Big Ten,401112237,40111223723,23,false,4,45,45,2,26,4,48,48,0,0,2,16,4,3,Uncategorized
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,4011122381,1,true,1,19,81,15,0,1,100,0,12,19,2,41,9,81,TD
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,4011122382,2,false,1,75,75,12,19,1,52,52,9,59,2,20,6,23,PUNT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,4011122383,3,false,1,11,89,9,59,1,9,91,8,42,1,17,3,-2,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,4011122384,4,true,1,41,41,8,42,1,0,0,5,32,3,10,9,41,TD
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,4011122385,5,false,1,27,73,5,32,1,51,49,3,51,1,41,5,24,DOWNS
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,4011122386,6,false,1,51,51,3,51,1,25,25,2,57,,54,3,22,FUMBLE
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,4011122387,7,false,1,32,68,2,57,1,37,63,0,55,2,2,4,5,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,4011122388,8,false,1,91,91,0,55,2,83,83,13,39,2,16,5,8,PUNT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,4011122389,9,true,2,58,42,13,39,2,100,0,9,15,4,24,12,42,TD
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223810,10,false,2,77,77,9,15,2,51,51,6,12,3,3,5,26,PUNT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223811,11,false,2,21,79,6,12,2,26,74,2,55,3,17,6,5,PUNT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223812,12,false,2,79,79,2,55,2,81,81,1,58,,57,3,-2,PUNT
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223813,13,false,2,35,65,1,58,2,86,14,0,19,1,39,11,51,MISSED FG
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223814,14,false,2,86,86,0,19,2,82,82,0,0,,19,1,4,END OF HALF
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223815,15,true,3,88,88,15,0,3,71,71,13,11,1,49,4,17,INT TD
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223816,16,true,3,80,80,13,11,3,73,73,11,32,1,39,3,7,PUNT TD
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223817,17,false,3,84,84,11,32,3,72,72,8,11,3,21,6,12,FUMBLE
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223818,18,true,3,13,13,8,11,3,0,0,6,47,1,24,3,13,TD
Nebraska,Big Ten,South Alabama,Sun Belt,401112238,40111223819,19,false,3,25,75,6,47,3,59,41,4,59,1,48,5,34,INT
South Alabama,Sun Belt,Nebraska,Big Ten,401112238,40111223820,20,true,3,58,58,4,59,3,0,0,2,17,2,42,6,58,TD
