offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107851,1,false,1,75,75,15,0,1,73,73,13,23,1,37,3,2,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107852,2,false,1,50,50,13,23,1,55,45,11,39,1,44,3,5,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107853,3,false,1,80,80,11,39,1,75,75,10,53,,46,3,5,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107854,4,false,1,36,64,10,53,1,43,57,9,56,,57,3,7,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107855,5,true,1,68,68,9,56,1,0,0,6,32,3,24,6,68,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107856,6,true,1,29,71,6,32,1,100,0,3,57,2,35,7,71,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107857,7,false,1,75,75,3,57,2,45,45,14,7,4,50,7,30,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,4011107858,8,false,2,2,98,14,7,2,77,23,8,32,5,35,13,75,MISSED FG
Vanderbilt,SEC,Purdue,Big Ten,401110785,4011107859,9,false,2,77,77,8,32,2,79,79,6,51,1,41,3,-2,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078510,10,true,2,50,50,6,51,2,100,0,4,56,1,55,4,50,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078511,11,true,2,75,75,4,56,2,30,30,0,53,4,3,9,45,FG
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078512,12,false,2,25,75,0,53,2,21,79,0,16,,37,3,-4,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078513,13,false,2,57,57,0,16,2,4,4,0,0,,16,3,53,END OF HALF
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078514,14,true,3,23,77,15,0,3,100,0,13,13,1,47,6,77,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078515,15,false,3,75,75,13,13,3,56,56,9,49,3,24,8,19,INT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078516,16,false,3,54,46,9,49,3,82,18,8,39,1,10,4,28,INT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078517,17,false,3,81,81,8,39,3,62,62,7,1,1,38,5,19,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078518,18,true,3,15,85,7,1,3,100,0,5,6,1,55,6,85,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078519,19,false,3,80,80,5,6,3,15,15,0,36,4,30,8,65,DOWNS
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078520,20,false,3,15,85,0,36,4,22,78,14,5,1,31,3,7,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078521,21,true,4,44,44,14,5,4,0,0,12,27,1,38,5,44,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078522,22,true,4,25,75,12,27,4,100,0,9,27,3,,7,75,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078523,23,true,4,75,75,9,27,4,0,0,9,16,,11,1,75,TD
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078524,24,true,4,5,95,9,16,4,100,0,6,5,3,11,7,95,TD
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078525,25,false,4,75,75,6,5,4,64,64,5,5,1,,4,11,PUNT
Purdue,Big Ten,Vanderbilt,SEC,401110785,40111078526,26,false,4,8,92,5,5,4,22,78,2,25,2,40,5,14,PUNT
Vanderbilt,SEC,Purdue,Big Ten,401110785,40111078527,27,false,4,54,54,2,25,4,8,8,0,0,2,25,11,46,END OF GAME
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120861,1,true,1,75,75,15,0,1,7,7,7,37,7,23,15,68,FG
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120862,2,true,1,86,14,7,37,1,100,0,5,44,1,53,5,86,TD
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120863,3,false,1,87,87,5,44,1,81,81,4,42,1,2,3,6,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120864,4,false,1,66,34,4,42,1,63,37,1,45,2,57,6,29,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120865,5,false,1,80,80,1,45,2,50,50,13,24,3,21,7,30,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120866,6,false,2,80,20,13,24,2,52,48,9,35,3,49,7,32,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120867,7,false,2,96,96,9,35,2,94,94,7,23,2,12,3,2,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,4011120868,8,false,2,52,48,7,23,2,70,30,5,1,2,22,5,22,FUMBLE
Iowa,Big Ten,Iowa State,Big 12,401112086,4011120869,9,true,2,81,81,5,1,2,65,65,0,0,5,1,12,59,END OF HALF
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208610,10,true,3,76,24,15,0,3,100,0,14,3,,57,2,76,TD
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208611,11,false,3,73,73,14,3,3,64,64,12,19,1,44,3,9,PUNT
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208612,12,false,3,87,13,12,19,3,58,42,8,21,3,58,8,45,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208613,13,true,3,80,80,8,21,3,24,24,2,15,6,6,12,56,FG
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208614,14,false,3,94,6,2,15,3,94,6,0,24,1,51,3,0,PUNT
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208615,15,true,3,25,25,0,24,4,0,0,12,10,3,14,7,25,TD
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208616,16,true,4,75,25,12,10,4,91,9,7,46,4,24,13,66,FG
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208617,17,true,4,75,75,7,46,4,21,21,4,51,2,55,8,54,FG
Iowa State,Big 12,Iowa,Big Ten,401112086,40111208618,18,false,4,75,25,4,51,4,61,39,2,0,2,51,6,36,DOWNS
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208619,19,false,4,61,61,2,0,4,64,64,1,29,,31,3,-3,FUMBLE
Iowa,Big Ten,Iowa State,Big 12,401112086,40111208620,20,false,4,22,22,1,29,4,30,30,0,0,1,29,3,-8,END OF GAME
Purdue,Big Ten,TCU,Big 12,401112130,4011121301,1,false,1,25,75,15,0,1,34,66,13,27,1,33,3,9,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,4011121302,2,false,1,82,82,13,27,1,76,76,12,24,1,3,3,6,INT
Purdue,Big Ten,TCU,Big 12,401112130,4011121303,3,true,1,79,21,12,24,1,86,14,11,35,,49,4,7,FG
TCU,Big 12,Purdue,Big Ten,401112130,4011121304,4,false,1,75,75,11,35,1,57,57,10,4,1,31,6,18,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,4011121305,5,false,1,18,82,10,4,1,21,79,9,17,,47,2,3,INT
TCU,Big 12,Purdue,Big Ten,401112130,4011121306,6,true,1,41,41,9,17,1,7,7,4,9,5,8,11,34,FG
Purdue,Big Ten,TCU,Big 12,401112130,4011121307,7,false,1,8,92,4,9,1,6,94,2,46,1,23,3,-2,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,4011121308,8,true,1,43,43,2,46,1,0,0,1,14,1,32,4,43,TD
Purdue,Big Ten,TCU,Big 12,401112130,4011121309,9,false,1,25,75,1,14,2,8,92,14,48,1,26,3,-17,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,40111213010,10,false,2,54,54,14,48,2,54,54,13,49,,59,3,0,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213011,11,true,2,21,79,13,49,2,64,36,12,35,1,14,5,43,FG
TCU,Big 12,Purdue,Big Ten,401112130,40111213012,12,false,2,75,75,12,35,2,37,37,7,58,4,37,9,38,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213013,13,false,2,3,97,7,58,2,12,88,6,12,1,46,3,9,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,40111213014,14,true,2,52,52,6,12,2,23,23,1,9,5,3,10,29,FG
Purdue,Big Ten,TCU,Big 12,401112130,40111213015,15,false,2,23,77,1,9,2,37,63,0,0,1,9,6,14,END OF HALF
TCU,Big 12,Purdue,Big Ten,401112130,40111213016,16,false,3,75,75,15,0,3,74,74,14,12,,48,3,1,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213017,17,false,3,33,67,14,12,3,48,52,12,12,2,,5,15,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,40111213018,18,true,3,92,92,12,12,3,0,0,8,12,4,,9,92,TD
Purdue,Big Ten,TCU,Big 12,401112130,40111213019,19,false,3,40,60,8,12,3,40,60,8,0,,12,1,0,INT
TCU,Big 12,Purdue,Big Ten,401112130,40111213020,20,false,3,57,57,8,0,3,40,40,7,1,,59,3,17,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213021,21,false,3,2,98,7,1,3,9,91,5,41,1,20,3,7,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,40111213022,22,true,3,72,72,5,41,3,0,0,1,24,4,17,7,72,TD
Purdue,Big Ten,TCU,Big 12,401112130,40111213023,23,false,3,25,75,1,24,3,33,67,0,18,1,6,3,8,PUNT
TCU,Big 12,Purdue,Big Ten,401112130,40111213024,24,false,3,66,66,0,18,4,49,49,12,53,2,25,4,17,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213025,25,false,4,20,80,12,53,4,42,58,11,25,1,28,5,22,DOWNS
TCU,Big 12,Purdue,Big Ten,401112130,40111213026,26,true,4,42,42,11,25,4,0,0,5,45,5,40,9,42,TD
Purdue,Big Ten,TCU,Big 12,401112130,40111213027,27,true,4,25,75,5,45,4,100,0,3,40,2,5,6,75,TD
TCU,Big 12,Purdue,Big Ten,401112130,40111213028,28,false,4,45,45,3,40,4,43,43,1,9,2,31,3,2,PUNT
Purdue,Big Ten,TCU,Big 12,401112130,40111213029,29,false,4,20,80,1,9,4,46,54,0,0,1,9,4,26,END OF GAME
Illinois,Big Ten,Akron,Mid-American,401112145,4011121451,1,true,1,37,63,15,0,1,100,0,11,53,3,7,10,63,TD
Akron,Mid-American,Illinois,Big Ten,401112145,4011121452,2,true,1,75,75,11,53,1,25,25,6,29,5,24,11,50,FG
Illinois,Big Ten,Akron,Mid-American,401112145,4011121453,3,true,1,25,75,6,29,1,100,0,3,23,3,6,9,75,TD
Akron,Mid-American,Illinois,Big Ten,401112145,4011121454,4,false,1,76,76,3,23,1,76,76,2,30,,53,2,0,FUMBLE
Illinois,Big Ten,Akron,Mid-American,401112145,4011121455,5,true,1,76,24,2,30,2,100,0,14,56,2,34,6,24,TD
Akron,Mid-American,Illinois,Big Ten,401112145,4011121456,6,false,2,80,80,14,56,2,51,51,11,10,3,46,6,29,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,4011121457,7,false,2,35,65,11,10,2,35,65,10,12,,58,3,0,PUNT
Akron,Mid-American,Illinois,Big Ten,401112145,4011121458,8,false,2,90,90,10,12,2,66,66,6,44,3,28,7,24,INT
Illinois,Big Ten,Akron,Mid-American,401112145,4011121459,9,false,2,62,38,6,44,2,88,12,3,39,3,5,10,26,MISSED FG
Akron,Mid-American,Illinois,Big Ten,401112145,40111214510,10,false,2,80,80,3,39,2,96,96,2,42,,57,3,-16,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214511,11,true,2,76,24,2,42,2,100,0,2,4,,38,2,24,TD
Akron,Mid-American,Illinois,Big Ten,401112145,40111214512,12,false,2,75,75,2,4,2,61,61,0,0,2,4,6,14,END OF HALF
Akron,Mid-American,Illinois,Big Ten,401112145,40111214513,13,false,3,75,75,15,0,3,73,73,14,5,,55,3,2,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214514,14,true,3,37,63,14,5,3,100,0,10,42,3,23,8,63,TD
Akron,Mid-American,Illinois,Big Ten,401112145,40111214515,15,false,3,75,75,10,42,3,55,55,8,4,2,38,5,20,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214516,16,true,3,30,70,8,4,3,100,0,4,30,3,34,10,70,TD
Akron,Mid-American,Illinois,Big Ten,401112145,40111214517,17,false,3,75,75,4,30,3,26,26,1,17,3,13,8,49,MISSED FG
Illinois,Big Ten,Akron,Mid-American,401112145,40111214518,18,false,3,26,74,1,17,3,28,72,0,0,1,17,3,2,PUNT
Akron,Mid-American,Illinois,Big Ten,401112145,40111214519,19,false,4,88,88,15,0,4,50,50,11,32,3,28,8,38,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214520,20,false,4,22,78,11,32,4,18,82,9,19,2,13,3,-4,PUNT
Akron,Mid-American,Illinois,Big Ten,401112145,40111214521,21,false,4,57,57,9,19,4,55,55,7,17,2,2,3,2,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214522,22,false,4,27,73,7,17,4,58,42,4,38,2,39,4,31,PUNT
Akron,Mid-American,Illinois,Big Ten,401112145,40111214523,23,false,4,98,98,4,38,4,80,80,1,58,2,40,5,18,PUNT
Illinois,Big Ten,Akron,Mid-American,401112145,40111214524,24,false,4,44,56,1,58,4,53,47,0,9,1,49,4,9,DOWNS
Akron,Mid-American,Illinois,Big Ten,401112145,40111214525,25,false,4,53,53,0,9,4,51,51,0,0,,9,1,2,END OF GAME
Connecticut,American Athletic,Illinois,Big Ten,401112146,4011121461,1,false,1,25,75,15,0,1,31,69,13,12,1,48,3,6,PUNT
Illinois,Big Ten,Connecticut,American Athletic,401112146,4011121462,2,true,1,64,64,13,12,1,54,54,11,14,1,58,5,10,INT TD
Illinois,Big Ten,Connecticut,American Athletic,401112146,4011121464,3,false,1,68,68,11,14,1,53,53,9,11,2,3,5,15,PUNT
Connecticut,American Athletic,Illinois,Big Ten,401112146,4011121465,4,true,1,9,91,9,11,1,83,17,3,56,5,15,11,74,FG
Illinois,Big Ten,Connecticut,American Athletic,401112146,4011121466,5,false,1,60,60,3,56,1,51,51,2,19,1,37,4,9,DOWNS
Connecticut,American Athletic,Illinois,Big Ten,401112146,4011121467,6,true,1,51,49,2,19,2,89,11,14,57,2,22,5,38,FG
Illinois,Big Ten,Connecticut,American Athletic,401112146,4011121468,7,true,2,75,75,14,57,2,0,0,11,43,3,14,8,75,TD
Connecticut,American Athletic,Illinois,Big Ten,401112146,4011121469,8,false,2,28,72,11,37,2,19,81,9,26,2,11,3,-9,PUNT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214610,9,true,2,59,59,9,26,2,0,0,5,51,3,35,8,59,TD
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214611,10,false,2,25,75,5,51,2,24,76,3,37,2,14,3,-1,PUNT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214612,11,true,2,59,59,3,37,2,0,0,0,55,2,42,7,59,TD
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214613,12,false,2,32,68,0,55,2,60,40,0,21,,34,3,28,INT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214614,13,true,2,54,54,0,21,2,35,35,15,0,,21,3,19,FG
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214615,14,false,3,31,31,14,41,3,41,41,14,41,,,1,-10,FUMBLE
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214616,15,true,3,41,59,14,41,3,100,0,11,36,3,5,8,59,TD
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214617,16,false,3,73,73,11,36,3,74,74,10,34,1,2,3,-1,PUNT
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214618,17,false,3,27,73,10,34,3,47,53,9,7,1,27,4,20,PUNT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214619,18,true,3,87,87,9,7,3,0,0,6,9,2,58,8,87,TD
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214620,19,false,3,9,91,6,9,3,9,91,6,0,,9,1,0,FUMBLE
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214621,20,false,3,9,9,6,0,3,21,21,4,41,1,19,2,-12,FUMBLE
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214622,21,true,3,21,79,4,41,4,85,15,11,39,8,2,15,64,FG
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214623,22,false,4,70,70,11,39,4,41,41,7,42,3,57,7,29,PUNT
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214624,23,false,4,10,90,7,42,4,18,82,5,35,2,7,3,8,PUNT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214625,24,false,4,53,53,5,35,4,47,47,3,38,1,57,5,6,PUNT
Connecticut,American Athletic,Illinois,Big Ten,401112146,40111214626,25,false,4,14,86,3,38,4,43,57,2,13,1,25,4,29,INT
Illinois,Big Ten,Connecticut,American Athletic,401112146,40111214627,26,false,4,58,58,2,13,4,49,49,0,0,2,13,5,9,END OF GAME
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,4011121471,1,false,1,75,75,15,0,1,66,66,12,40,2,20,3,9,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,4011121472,2,true,1,23,77,12,40,1,61,39,9,18,3,22,8,38,FG
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,4011121473,3,true,1,75,75,9,18,1,0,0,8,2,1,16,5,75,TD
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,4011121474,4,true,1,35,65,8,2,1,100,0,6,52,1,10,4,65,TD
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,4011121475,5,false,1,75,75,6,52,1,70,70,5,21,1,31,3,5,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,4011121476,6,false,1,27,73,5,21,1,22,78,4,7,1,14,3,-5,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,4011121477,7,true,1,54,54,4,7,1,0,0,3,55,,12,2,54,TD
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,4011121478,8,true,1,25,75,3,59,1,100,0,1,42,2,17,6,75,TD
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,4011121479,9,false,1,75,75,1,42,2,46,46,13,38,3,4,7,29,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214710,10,false,2,18,82,13,38,2,24,76,10,8,3,30,6,6,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214711,11,true,2,70,70,10,8,2,0,0,8,28,1,40,5,70,TD
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214712,12,false,2,25,75,8,28,2,18,82,7,44,,44,3,-7,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214713,13,true,2,61,61,7,44,2,35,35,4,43,3,1,8,26,FG
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214714,14,false,2,25,75,4,43,2,16,84,3,21,1,22,3,-9,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214715,15,false,2,69,69,3,21,2,46,46,1,6,2,15,5,23,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214716,16,false,2,20,80,1,6,2,72,28,0,0,1,6,4,52,END OF HALF
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214717,17,false,3,25,75,15,0,3,32,68,13,48,1,12,3,7,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214718,18,false,3,87,87,13,48,3,77,77,11,41,2,7,5,10,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214719,19,false,3,36,64,11,41,3,43,57,8,46,2,55,6,7,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214720,20,false,3,85,85,8,46,3,49,49,7,36,1,10,3,36,FUMBLE
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214721,21,false,3,49,51,7,36,3,63,37,6,9,1,27,4,14,FUMBLE
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214722,22,false,3,63,63,6,9,3,59,59,5,5,1,4,3,4,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214723,23,false,3,21,79,5,5,3,35,65,3,24,1,41,6,14,INT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214724,24,false,3,39,39,3,24,3,37,37,1,15,2,9,3,2,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214725,25,false,3,20,80,1,15,4,14,86,14,46,1,29,4,-6,PUNT
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214726,26,true,4,49,49,14,46,4,0,0,11,20,3,26,8,49,TD
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214727,27,true,4,25,75,11,20,4,100,0,7,46,3,34,11,75,TD
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214728,28,false,4,75,75,7,46,4,40,40,2,58,4,48,10,35,PUNT
Illinois,Big Ten,Eastern Michigan,Mid-American,401112147,40111214729,29,true,4,7,93,2,58,4,100,0,1,44,1,14,7,93,TD
Eastern Michigan,Mid-American,Illinois,Big Ten,401112147,40111214730,30,true,4,75,75,1,44,4,7,7,0,0,1,44,8,68,FG
Illinois,Big Ten,Nebraska,Big Ten,401112148,4011121481,1,true,1,29,71,15,0,1,100,0,14,12,,48,2,71,TD
Nebraska,Big Ten,Illinois,Big Ten,401112148,4011121482,2,false,1,75,75,14,12,1,24,24,11,39,2,33,7,51,DOWNS
Illinois,Big Ten,Nebraska,Big Ten,401112148,4011121483,3,false,1,24,76,11,39,1,29,71,10,15,1,24,3,5,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,4011121484,4,false,1,85,85,10,15,1,63,63,9,57,,18,2,22,FUMBLE
Illinois,Big Ten,Nebraska,Big Ten,401112148,4011121485,5,true,1,63,37,9,57,1,100,0,8,12,1,45,5,37,TD
Nebraska,Big Ten,Illinois,Big Ten,401112148,4011121486,6,true,1,75,75,8,12,1,0,0,5,7,3,5,10,75,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,4011121487,7,false,1,32,68,5,1,1,40,60,2,8,2,53,5,8,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,4011121488,8,false,1,82,82,2,8,1,75,75,0,38,1,30,3,7,PUNT
Illinois,Big Ten,Nebraska,Big Ten,401112148,4011121489,9,false,1,30,70,0,38,2,39,61,14,0,1,38,3,9,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214810,10,false,2,98,98,14,0,2,90,90,13,51,,9,1,8,FUMBLE
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214811,11,true,2,98,2,13,51,2,100,0,13,46,,5,1,2,TD
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214812,12,false,2,75,75,13,46,2,71,71,12,1,1,45,3,4,PUNT
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214813,13,false,2,25,75,12,1,2,50,50,10,47,1,14,5,25,INT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214814,14,true,2,79,79,10,47,2,0,0,8,20,2,27,6,79,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214815,15,false,2,34,66,8,13,2,41,59,6,26,1,47,3,7,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214816,16,false,2,92,92,6,26,2,51,51,1,32,4,54,14,41,PUNT
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214817,17,false,2,19,81,1,32,2,45,55,0,0,1,32,5,26,END OF HALF
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214818,18,false,3,82,82,14,55,3,80,80,13,7,1,48,3,2,PUNT
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214819,19,true,3,22,78,13,7,3,100,0,11,16,1,51,6,78,TD
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214820,20,true,3,75,75,11,16,3,0,0,9,41,1,35,7,75,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214821,21,false,3,35,65,9,41,3,36,64,8,39,1,2,3,1,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214822,22,false,3,89,89,8,39,3,62,62,7,47,,52,2,27,FUMBLE
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214824,23,false,3,86,86,6,45,3,86,86,6,10,,35,2,0,FUMBLE
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214825,24,true,3,86,14,6,10,3,100,0,5,40,,30,2,14,TD
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214826,25,true,3,75,75,5,40,3,0,0,2,11,3,29,9,75,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214827,26,false,3,14,86,2,11,3,18,82,1,4,1,7,3,4,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214828,27,true,3,64,64,1,4,4,0,0,14,29,1,35,6,64,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214829,28,true,4,41,59,14,22,4,71,29,12,8,2,14,7,30,FG
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214830,29,true,4,75,75,12,8,4,0,0,8,0,4,8,11,75,TD
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214831,30,false,4,27,73,7,55,4,33,67,6,38,1,17,3,6,PUNT
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214832,31,false,4,80,80,6,38,4,10,10,2,3,4,35,10,70,MISSED FG
Illinois,Big Ten,Nebraska,Big Ten,401112148,40111214833,32,false,4,20,80,2,3,4,20,80,1,41,,22,4,0,DOWNS
Nebraska,Big Ten,Illinois,Big Ten,401112148,40111214834,33,false,4,20,20,1,41,4,31,31,0,0,1,41,3,-11,END OF GAME
Illinois,Big Ten,Minnesota,Big Ten,401112149,4011121491,1,false,1,65,65,15,0,1,45,45,12,26,2,34,6,20,PUNT
Minnesota,Big Ten,Illinois,Big Ten,401112149,4011121492,2,false,1,10,90,12,26,1,28,72,10,25,2,1,5,18,PUNT
Illinois,Big Ten,Minnesota,Big Ten,401112149,4011121493,3,false,1,68,68,10,25,1,63,63,8,54,1,31,3,5,PUNT
Minnesota,Big Ten,Illinois,Big Ten,401112149,4011121494,4,true,1,10,90,8,54,1,28,72,6,58,1,56,4,18,INT TD
Minnesota,Big Ten,Illinois,Big Ten,401112149,4011121496,5,false,1,25,75,6,58,1,56,44,3,17,3,41,8,31,PUNT
Illinois,Big Ten,Minnesota,Big Ten,401112149,4011121497,6,false,1,95,95,3,17,1,91,91,2,19,,58,3,4,INT
Minnesota,Big Ten,Illinois,Big Ten,401112149,4011121498,7,true,1,88,12,2,19,1,91,9,0,52,1,27,4,3,FG
Illinois,Big Ten,Minnesota,Big Ten,401112149,4011121499,8,false,1,68,68,0,52,2,48,48,13,25,2,27,6,20,PUNT
Minnesota,Big Ten,Illinois,Big Ten,401112149,40111214910,9,true,2,15,85,13,25,2,100,0,11,23,2,2,4,85,TD
Illinois,Big Ten,Minnesota,Big Ten,401112149,40111214911,10,false,2,75,75,11,23,2,61,61,8,50,2,33,5,14,PUNT
Minnesota,Big Ten,Illinois,Big Ten,401112149,40111214912,11,false,2,13,87,8,50,2,30,70,7,20,1,30,4,17,PUNT
Illinois,Big Ten,Minnesota,Big Ten,401112149,40111214913,12,false,2,70,70,7,20,2,25,25,4,40,2,40,7,45,MISSED FG
Minnesota,Big Ten,Illinois,Big Ten,401112149,40111214914,13,true,2,25,75,4,40,2,100,0,1,32,3,8,6,75,TD
