year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1979,Air Force,FBS Independents,,11,2,9,0,4,1,3,0,6,2,4,0,5,0,5,0
1979,Alabama,SEC,,12,12,0,0,6,6,0,0,7,7,0,0,4,4,0,0
1979,Appalachian State,Southern,,11,3,8,0,7,3,4,0,4,1,3,0,7,2,5,0
1979,Arizona,Pac-10,,12,6,6,0,7,4,3,0,6,4,2,0,5,2,3,0
1979,Arizona State,Pac-10,,12,6,6,0,7,3,4,0,7,5,2,0,5,1,4,0
1979,Arkansas,Southwest,,12,10,2,0,8,7,1,0,7,6,1,0,4,4,0,0
1979,Arkansas State,Southland,,11,4,7,0,5,1,4,0,5,2,3,0,6,2,4,0
1979,Army,FBS Independents,,11,2,9,0,7,1,6,0,5,1,4,0,6,1,5,0
1979,Auburn,SEC,,11,8,3,0,6,4,2,0,6,6,0,0,5,2,3,0
1979,Ball State,Mid-American,,11,6,5,0,8,4,4,0,6,5,1,0,5,1,4,0
1979,Baylor,Southwest,,12,8,4,0,8,5,3,0,5,5,0,0,6,2,4,0
1979,Boston College,FBS Independents,,11,5,6,0,8,4,4,0,5,2,3,0,6,3,3,0
1979,Bowling Green,Mid-American,,11,4,7,0,8,3,5,0,5,2,3,0,6,2,4,0
1979,Brown,Ivy,,9,6,3,0,7,5,2,0,5,5,0,0,4,1,3,0
1979,BYU,Western Athletic,,12,11,1,0,7,7,0,0,5,5,0,0,6,6,0,0
1979,California,Pac-10,,12,6,6,0,9,5,4,0,5,2,3,0,6,4,2,0
1979,Cal State Fullerton,PCAA,,11,3,8,0,5,1,4,0,4,1,3,0,7,2,5,0
1979,Central Michigan,Mid-American,,11,11,0,0,9,9,0,0,6,6,0,0,5,5,0,0
1979,Chattanooga,Southern,,11,9,2,0,6,5,1,0,6,5,1,0,5,4,1,0
