year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,Nevada,Western Athletic,,14,13,1,0,8,7,1,0,7,7,0,0,6,5,1,0
2010,New Mexico,Mountain West,,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0
2010,New Mexico State,Western Athletic,,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0
2010,North Carolina,ACC,Coastal,13,8,5,0,8,4,4,0,6,3,3,0,5,4,1,0
2010,Northern Illinois,Mid-American,West,14,11,3,0,9,8,1,0,5,5,0,0,7,5,2,0
2010,North Texas,Sun Belt,,12,3,9,0,8,3,5,0,6,0,6,0,6,3,3,0
2010,Northwestern,Big Ten,,13,7,6,0,8,3,5,0,6,3,3,0,6,4,2,0
2010,Notre Dame,FBS Independents,,13,8,5,0,0,0,0,0,7,4,3,0,3,2,1,0
2010,Ohio,Mid-American,East,13,8,5,0,8,6,2,0,6,5,1,0,6,3,3,0
2010,Ohio State,Big Ten,,13,12,1,0,8,7,1,0,8,8,0,0,4,3,1,0
2010,Oklahoma,Big 12,South,14,12,2,0,9,7,2,0,6,6,0,0,5,3,2,0
2010,Oklahoma State,Big 12,South,13,11,2,0,8,6,2,0,7,5,2,0,5,5,0,0
2010,Ole Miss,SEC,West,12,4,8,0,8,1,7,0,7,3,4,0,5,1,4,0
2010,Oregon,Pac-10,,13,12,1,0,10,10,0,0,6,6,0,0,6,6,0,0
2010,Oregon State,Pac-10,,12,5,7,0,10,4,6,0,6,4,2,0,5,1,4,0
2010,Penn State,Big Ten,,13,7,6,0,8,4,4,0,7,5,2,0,4,1,3,0
2010,Pittsburgh,Big East,,13,8,5,0,7,5,2,0,6,4,2,0,6,3,3,0
2010,Purdue,Big Ten,,12,4,8,0,8,2,6,0,7,3,4,0,5,1,4,0
2010,Rice,Conference USA,West,12,4,8,0,8,3,5,0,6,3,3,0,5,1,4,0
2010,Rutgers,Big East,,12,4,8,0,7,1,6,0,7,3,4,0,5,1,4,0
2010,San Diego State,Mountain West,,13,9,4,0,8,5,3,0,7,6,1,0,6,3,3,0
2010,San José State,Western Athletic,,13,1,12,0,8,0,8,0,6,1,5,0,7,0,7,0
2010,SMU,Conference USA,West,14,7,7,0,9,6,3,0,7,4,3,0,7,3,4,0
2010,South Carolina,SEC,East,14,9,5,0,9,5,4,0,7,6,1,0,5,3,2,0
2010,Southern Mississippi,Conference USA,East,13,8,5,0,8,5,3,0,6,4,2,0,6,4,2,0
2010,South Florida,Big East,,13,8,5,0,7,3,4,0,7,4,3,0,5,3,2,0
2010,Stanford,Pac-10,,13,12,1,0,9,8,1,0,6,6,0,0,6,5,1,0
2010,Syracuse,Big East,,13,8,5,0,7,4,3,0,6,2,4,0,6,5,1,0
2010,TCU,Mountain West,,13,13,0,0,10,10,0,0,6,6,0,0,5,5,0,0
