year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1998,Air Force,Western Athletic,Mountain,13,12,1,0,9,8,1,0,6,6,0,0,5,4,1,0
1998,Akron,Mid-American,East,11,4,7,0,9,3,6,0,5,2,3,0,6,2,4,0
1998,Alabama,SEC,West,12,7,5,0,8,4,4,0,7,6,1,0,4,1,3,0
1998,Arizona,Pac-10,,13,12,1,0,8,7,1,0,6,5,1,0,6,6,0,0
1998,Arizona State,Pac-10,,11,5,6,0,8,4,4,0,6,4,2,0,5,1,4,0
1998,Arkansas,SEC,West,12,9,3,0,8,6,2,0,6,6,0,0,5,3,2,0
1998,Arkansas State,FBS Independents,,12,4,8,0,3,1,2,0,6,3,3,0,6,1,5,0
1998,Army,Conference USA,,11,3,8,0,6,2,4,0,6,2,4,0,5,1,4,0
1998,Auburn,SEC,West,11,3,8,0,8,1,7,0,7,2,5,0,4,1,3,0
1998,Ball State,Mid-American,West,11,1,10,0,8,1,7,0,4,1,3,0,7,0,7,0
1998,Baylor,Big 12,South,11,2,9,0,8,1,7,0,5,2,3,0,6,0,6,0
1998,Boise State,Big West,,11,6,5,0,5,2,3,0,7,4,3,0,4,2,2,0
1998,Boston College,Big East,,11,4,7,0,7,3,4,0,6,2,4,0,5,2,3,0
1998,Bowling Green,Mid-American,East,11,5,6,0,8,5,3,0,5,4,1,0,6,1,5,0
1998,BYU,Western Athletic,Pacific,14,9,5,0,9,7,2,0,6,6,0,0,6,3,3,0
1998,California,Pac-10,,11,5,6,0,8,3,5,0,6,2,4,0,5,3,2,0
1998,Central Michigan,Mid-American,West,11,6,5,0,8,5,3,0,5,5,0,0,6,1,5,0
1998,Cincinnati,Conference USA,,11,2,9,0,6,1,5,0,6,1,5,0,5,1,4,0
1998,Clemson,ACC,,11,3,8,0,8,1,7,0,7,3,4,0,4,0,4,0
1998,Colorado,Big 12,North,12,8,4,0,8,4,4,0,7,6,1,0,4,1,3,0
1998,Colorado State,Western Athletic,Mountain,12,8,4,0,8,5,3,0,4,3,1,0,8,5,3,0
1998,Duke,ACC,,11,4,7,0,8,2,6,0,5,2,3,0,6,2,4,0
1998,East Carolina,Conference USA,,11,6,5,0,6,3,3,0,5,3,2,0,6,3,3,0
1998,Eastern Michigan,Mid-American,West,11,3,8,0,9,3,6,0,5,1,4,0,6,2,4,0
