year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2018,Air Force,Mountain West,Mountain,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2018,Akron,Mid-American,East,12,4,8,0,8,2,6,0,5,2,3,0,7,2,5,0
2018,Alabama,SEC,West,15,14,1,0,9,9,0,0,7,7,0,0,4,4,0,0
2018,Appalachian State,Sun Belt,,13,11,2,0,9,8,1,0,6,6,0,0,6,4,2,0
2018,Arizona,Pac-12,South,12,5,7,0,9,4,5,0,7,4,3,0,5,1,4,0
2018,Arizona State,Pac-12,South,13,7,6,0,9,5,4,0,6,5,1,0,6,2,4,0
2018,Arkansas,SEC,West,12,2,10,0,8,0,8,0,7,2,5,0,4,0,4,0
2018,Arkansas State,Sun Belt,,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0
2018,Army,FBS Independents,,13,11,2,0,0,0,0,0,6,6,0,0,4,2,2,0
2018,Auburn,SEC,West,13,8,5,0,8,3,5,0,7,5,2,0,4,1,3,0
2018,Ball State,Mid-American,West,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
2018,Baylor,Big 12,,13,7,6,0,9,4,5,0,6,4,2,0,5,1,4,0
2018,Boise State,Mountain West,Mountain,13,10,3,0,9,7,2,0,7,5,2,0,6,5,1,0
2018,Boston College,ACC,Atlantic,12,7,5,0,8,4,4,0,7,5,2,0,5,2,3,0
2018,Bowling Green,Mid-American,East,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2018,Buffalo,Mid-American,East,14,10,4,0,9,7,2,0,6,5,1,0,6,5,1,0
2018,BYU,FBS Independents,,13,7,6,0,0,0,0,0,6,3,3,0,6,3,3,0
2018,California,Pac-12,North,13,7,6,0,9,4,5,0,7,4,3,0,5,3,2,0
2018,Central Michigan,Mid-American,West,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
2018,Charlotte,Conference USA,East,12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
2018,Cincinnati,American Athletic,East,13,11,2,0,8,6,2,0,6,6,0,0,6,4,2,0
2018,Clemson,ACC,Atlantic,15,15,0,0,9,9,0,0,7,7,0,0,5,5,0,0
2018,Coastal Carolina,Sun Belt,,12,5,7,0,8,2,6,0,5,1,4,0,7,4,3,0
2018,Colorado,Pac-12,South,12,5,7,0,9,2,7,0,6,3,3,0,5,1,4,0
2018,Colorado State,Mountain West,Mountain,12,3,9,0,8,2,6,0,6,2,4,0,5,1,4,0
2018,Connecticut,American Athletic,East,12,1,11,0,8,0,8,0,6,1,5,0,6,0,6,0
2018,Duke,ACC,Coastal,13,8,5,0,8,3,5,0,6,3,3,0,6,4,2,0
2018,East Carolina,American Athletic,East,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
2018,Eastern Michigan,Mid-American,West,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
2018,Florida,SEC,East,13,10,3,0,8,5,3,0,7,5,2,0,4,4,0,0
2018,Florida Atlantic,Conference USA,East,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2018,Florida International,Conference USA,East,13,9,4,0,8,6,2,0,7,4,3,0,5,4,1,0
2018,Florida State,ACC,Atlantic,12,5,7,0,8,3,5,0,7,4,3,0,5,1,4,0
2018,Fresno State,Mountain West,West,14,12,2,0,9,8,1,0,6,6,0,0,7,5,2,0
2018,Georgia,SEC,East,14,11,3,0,9,7,2,0,7,7,0,0,4,3,1,0
2018,Georgia Southern,Sun Belt,,13,10,3,0,8,6,2,0,6,5,1,0,6,4,2,0
2018,Georgia State,Sun Belt,,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0
2018,Georgia Tech,ACC,Coastal,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
2018,Hawai'i,Mountain West,West,14,8,6,0,8,5,3,0,7,5,2,0,6,3,3,0
2018,Houston,American Athletic,West,13,8,5,0,8,5,3,0,6,5,1,0,6,3,3,0
2018,Illinois,Big Ten,West,12,4,8,0,9,2,7,0,6,3,3,0,5,1,4,0
2018,Indiana,Big Ten,East,12,5,7,0,9,2,7,0,7,3,4,0,5,2,3,0
2018,Iowa,Big Ten,West,13,9,4,0,9,5,4,0,7,5,2,0,5,3,2,0
