year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1978,Air Force,FBS Independents,,11,3,8,0,6,1,5,0,6,1,5,0,5,2,3,0
1978,Alabama,SEC,,12,11,1,0,6,6,0,0,8,7,1,0,3,3,0,0
1978,Appalachian State,Southern,,11,7,4,0,6,4,2,0,7,4,3,0,4,3,1,0
1978,Arizona,Pac-10,,11,5,6,0,7,3,4,0,6,4,2,0,5,1,4,0
1978,Arizona State,Pac-10,,12,9,3,0,7,4,3,0,6,5,1,0,5,3,2,0
1978,Arkansas,Southwest,,12,9,3,0,8,6,2,0,6,6,0,0,5,3,2,0
1978,Arkansas State,Southland,,11,7,4,0,5,4,1,0,5,4,1,0,6,3,3,0
1978,Army,FBS Independents,,11,4,7,0,6,3,3,0,6,4,2,0,5,0,5,0
1978,Auburn,SEC,,11,6,5,0,6,3,3,0,4,2,2,0,7,4,3,0
1978,Ball State,Mid-American,,11,10,1,0,8,8,0,0,5,5,0,0,6,5,1,0
1978,Baylor,Southwest,,11,3,8,0,8,3,5,0,4,1,3,0,7,2,5,0
1978,Boston College,FBS Independents,,11,0,11,0,9,0,9,0,6,0,6,0,5,0,5,0
1978,Bowling Green,Mid-American,,11,4,7,0,8,3,5,0,5,2,3,0,6,2,4,0
1978,Brown,Ivy,,9,6,3,0,7,5,2,0,5,2,3,0,4,4,0,0
1978,BYU,Western Athletic,,13,9,4,0,6,5,1,0,6,5,1,0,6,4,2,0
1978,California,Pac-10,,11,6,5,0,7,3,4,0,5,3,2,0,6,3,3,0
1978,Cal State Fullerton,PCAA,,12,5,7,0,4,2,2,0,2,1,1,0,10,4,6,0
1978,Central Michigan,Mid-American,,11,9,2,0,9,8,1,0,5,4,1,0,6,5,1,0
1978,Chattanooga,Southern,,11,8,3,0,4,3,1,0,5,4,1,0,6,4,2,0
1978,Cincinnati,FBS Independents,,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1978,Clemson,ACC,,12,11,1,0,6,6,0,0,6,6,0,0,5,4,1,0
1978,Colgate,FBS Independents,,11,3,8,0,4,2,2,0,3,1,2,0,8,2,6,0
1978,Colorado,Big 8,,11,6,5,0,7,2,5,0,8,5,3,0,3,1,2,0
1978,Colorado State,Western Athletic,,11,5,6,0,6,2,4,0,5,2,3,0,6,3,3,0
1978,Columbia,Ivy,,9,4,5,0,7,3,4,0,5,3,2,0,4,1,3,0
1978,Cornell,Ivy,,9,5,4,0,7,3,4,0,4,2,2,0,5,3,2,0
1978,Dartmouth,Ivy,,9,6,3,0,7,6,1,0,4,3,1,0,5,3,2,0
1978,Drake,Missouri Valley,,11,4,7,0,6,3,3,0,5,4,1,0,6,0,6,0
1978,Duke,ACC,,11,4,7,0,6,2,4,0,5,4,1,0,6,0,6,0
1978,East Carolina,FBS Independents,,12,9,3,0,3,2,1,0,3,3,0,0,8,5,3,0
1978,Eastern Michigan,Mid-American,,10,3,7,0,6,1,5,0,5,2,3,0,5,1,4,0
