year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1968,Air Force,FBS Independents,,10,7,3,0,2,2,0,0,5,4,1,0,5,3,2,0
1968,Alabama,SEC,,11,8,3,0,6,4,2,0,7,7,0,0,3,1,2,0
1968,Arizona,Western Athletic,,11,8,3,0,6,5,1,0,5,4,1,0,5,4,1,0
1968,Arizona State,Western Athletic,,10,8,2,0,6,5,1,0,6,6,0,0,4,2,2,0
1968,Arkansas,Southwest,,11,10,1,0,7,6,1,0,6,6,0,0,4,3,1,0
1968,Army,FBS Independents,,10,7,3,0,5,4,1,0,6,5,1,0,4,2,2,0
1968,Auburn,SEC,,11,7,4,0,6,4,2,0,5,2,3,0,5,4,1,0
1968,Baylor,Southwest,,10,3,7,0,7,3,4,0,4,3,1,0,6,0,6,0
1968,Boston College,FBS Independents,,9,6,3,0,7,4,3,0,5,4,1,0,4,2,2,0
1968,Bowling Green,Mid-American,,10,7,3,0,6,4,2,0,6,5,1,0,4,2,2,0
1968,Brown,Ivy,,9,2,7,0,7,0,7,0,5,2,3,0,4,0,4,0
1968,Buffalo,FBS Independents,,10,7,3,0,4,2,2,0,4,3,1,0,6,4,2,0
1968,BYU,Western Athletic,,10,2,8,0,6,1,5,0,5,0,5,0,5,2,3,0
1968,California,Pac-8,,11,8,3,0,5,3,2,0,7,6,1,0,4,2,2,0
1968,Cincinnati,Missouri Valley,,10,6,4,0,4,2,2,0,7,5,2,0,3,1,2,0
1968,Clemson,ACC,,10,5,5,0,6,5,1,0,5,3,2,0,5,2,3,0
1968,Colgate,FBS Independents,,10,5,5,0,2,1,1,0,3,2,1,0,7,3,4,0
1968,Colorado,Big 8,,10,4,6,0,7,3,4,0,5,3,2,0,5,1,4,0
1968,Colorado State,Western Athletic,,10,2,8,0,3,1,2,0,5,0,5,0,5,2,3,0
1968,Columbia,Ivy,,9,2,7,0,7,2,5,0,5,2,3,0,4,0,4,0
1968,Cornell,Ivy,,9,3,6,0,7,1,6,0,5,2,3,0,4,1,3,0
1968,Dartmouth,Ivy,,9,4,5,0,7,3,4,0,4,3,1,0,5,1,4,0
1968,Davidson,Southern,,9,3,6,0,4,1,3,0,4,2,2,0,5,1,4,0
1968,Dayton,FBS Independents,,10,5,5,0,1,0,1,0,5,4,1,0,5,1,4,0
1968,Duke,ACC,,10,4,6,0,7,3,4,0,6,3,3,0,4,1,3,0
1968,East Carolina,Southern,,10,4,6,0,4,2,2,0,4,2,2,0,6,2,4,0
1968,Florida,SEC,,10,7,3,0,5,3,2,0,6,5,1,0,4,2,2,0
1968,Florida State,FBS Independents,,11,8,3,0,2,1,1,0,6,4,2,0,4,4,0,0
1968,Furman,Southern,,10,1,9,0,4,0,4,0,5,1,4,0,5,0,5,0
1968,Georgia,SEC,,11,9,2,0,6,6,0,0,6,6,0,0,4,3,1,0
1968,Georgia Tech,FBS Independents,,10,4,6,0,4,1,3,0,6,3,3,0,4,1,3,0
1968,Harvard,Ivy,,9,8,1,0,7,6,1,0,6,6,0,0,3,2,1,0
1968,Holy Cross,FBS Independents,,10,4,6,0,5,0,5,0,5,4,1,0,5,0,5,0
1968,Houston,FBS Independents,,10,8,2,0,3,2,1,0,7,6,1,0,3,2,1,0
1968,Idaho,FBS Independents,,10,5,5,0,3,2,1,0,3,3,0,0,7,2,5,0
1968,Illinois,Big Ten,,10,1,9,0,7,1,6,0,5,1,4,0,5,0,5,0
1968,Indiana,Big Ten,,10,6,4,0,7,4,3,0,5,3,2,0,5,3,2,0
1968,Iowa,Big Ten,,10,5,5,0,7,4,3,0,6,3,3,0,4,2,2,0
1968,Iowa State,Big 8,,10,3,7,0,7,1,6,0,5,1,4,0,5,2,3,0
1968,Kansas,Big 8,,11,9,2,0,7,6,1,0,5,4,1,0,5,5,0,0
1968,Kansas State,Big 8,,10,4,6,0,7,2,5,0,5,2,3,0,5,2,3,0
1968,Kent State,Mid-American,,10,1,9,0,6,1,5,0,5,0,5,0,5,1,4,0
1968,Kentucky,SEC,,10,3,7,0,7,0,7,0,6,2,4,0,4,1,3,0
1968,Louisville,Missouri Valley,,10,5,5,0,5,2,3,0,5,2,3,0,5,3,2,0
1968,LSU,SEC,,11,8,3,0,4,2,2,0,7,6,1,0,3,1,2,0
1968,Marshall,Mid-American,,10,0,10,0,6,0,6,0,4,0,4,0,6,0,6,0
1968,Maryland,ACC,,10,2,8,0,7,2,5,0,5,2,3,0,5,0,5,0
1968,Memphis,Missouri Valley,,10,6,4,0,4,4,0,0,5,3,2,0,5,3,2,0
1968,Miami,FBS Independents,,10,5,5,0,4,3,1,0,5,4,1,0,5,1,4,0
