year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1986,Air Force,Western Athletic,,11,6,5,0,7,5,2,0,5,3,2,0,6,3,3,0
1986,Alabama,SEC,,13,10,3,0,6,4,2,0,8,6,2,0,4,3,1,0
1986,Arizona,Pac-10,,12,9,3,0,8,5,3,0,6,5,1,0,5,3,2,0
1986,Arizona State,Pac-10,,12,10,2,0,7,5,2,0,6,6,0,0,5,3,2,0
1986,Arkansas,Southwest,,12,9,3,0,8,6,2,0,7,6,1,0,4,3,1,0
1986,Army,FBS Independents,,11,6,5,0,4,2,2,0,7,4,3,0,4,2,2,0
1986,Auburn,SEC,,12,10,2,0,6,4,2,0,8,7,1,0,3,2,1,0
1986,Ball State,Mid-American,,11,6,5,0,8,4,4,0,5,5,0,0,6,1,5,0
1986,Baylor,Southwest,,12,9,3,0,8,6,2,0,6,4,2,0,5,4,1,0
1986,Boston College,FBS Independents,,12,9,3,0,7,5,2,0,5,3,2,0,6,5,1,0
1986,Bowling Green,Mid-American,,11,5,6,0,8,5,3,0,5,4,1,0,6,1,5,0
1986,BYU,Western Athletic,,13,8,5,0,8,6,2,0,6,4,2,0,6,4,2,0
1986,California,Pac-10,,11,2,9,0,9,2,7,0,6,2,4,0,5,0,5,0
1986,Cal State Fullerton,PCAA,,12,3,9,0,7,2,5,0,4,2,2,0,8,1,7,0
1986,Central Michigan,Mid-American,,10,5,5,0,8,4,4,0,5,4,1,0,5,1,4,0
1986,Cincinnati,FBS Independents,,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1986,Clemson,ACC,,12,9,3,0,7,6,1,0,5,4,1,0,6,4,2,0
1986,Colorado,Big 8,,12,6,6,0,7,6,1,0,6,3,3,0,5,3,2,0
1986,Colorado State,Western Athletic,,11,6,5,0,8,4,4,0,5,4,1,0,6,2,4,0
1986,Duke,ACC,,11,4,7,0,7,2,5,0,5,3,2,0,6,1,5,0
1986,East Carolina,FBS Independents,,11,2,9,0,8,1,7,0,5,2,3,0,6,0,6,0
1986,Eastern Michigan,Mid-American,,11,6,5,0,8,4,4,0,6,5,1,0,5,1,4,0
1986,Florida,SEC,,11,6,5,0,6,2,4,0,7,4,3,0,4,2,2,0
1986,Florida State,FBS Independents,,12,7,5,0,6,5,1,0,5,4,1,0,6,2,4,0
1986,Fresno State,PCAA,,11,9,2,0,7,6,1,0,8,8,0,0,3,1,2,0
1986,Georgia,SEC,,12,8,4,0,6,4,2,0,6,5,1,0,5,3,2,0
1986,Georgia Tech,ACC,,11,5,6,0,6,3,3,0,5,4,1,0,6,1,5,0
1986,Hawai'i,Western Athletic,,12,7,5,0,8,4,4,0,8,6,2,0,4,1,3,0
1986,Houston,Southwest,,11,1,10,0,8,0,8,0,5,0,5,0,6,1,5,0
1986,Illinois,Big Ten,,11,4,7,0,8,3,5,0,6,3,3,0,5,1,4,0
1986,Indiana,Big Ten,,12,6,6,0,8,3,5,0,6,3,3,0,5,3,2,0
1986,Iowa,Big Ten,,12,9,3,0,8,5,3,0,7,6,1,0,4,2,2,0
1986,Iowa State,Big 8,,11,6,5,0,7,3,4,0,6,4,2,0,5,2,3,0
