year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1992,Air Force,Western Athletic,,12,7,5,0,8,4,4,0,7,3,4,0,4,4,0,0
1992,Akron,Mid-American,,11,7,4,0,8,5,3,0,4,3,1,0,7,4,3,0
1992,Alabama,SEC,West,13,13,0,0,9,9,0,0,6,6,0,0,5,5,0,0
1992,Arizona,Pac-10,,12,7,5,0,8,5,3,0,7,5,2,0,4,2,2,0
1992,Arizona State,Pac-10,,11,6,5,0,8,4,4,0,6,4,2,0,5,2,3,0
1992,Arkansas,SEC,West,11,4,7,0,8,4,4,0,7,2,5,0,4,2,2,0
1992,Arkansas State,FBS Independents,,11,2,9,0,5,1,4,0,4,1,3,0,7,1,6,0
1992,Army,FBS Independents,,11,5,6,0,2,2,0,0,8,5,3,0,3,0,3,0
1992,Auburn,SEC,West,11,5,6,0,8,2,6,0,6,5,1,0,5,0,5,0
1992,Ball State,Mid-American,,11,5,6,0,9,5,4,0,5,3,2,0,6,2,4,0
1992,Baylor,Southwest,,12,7,5,0,7,4,3,0,7,5,2,0,4,1,3,0
1992,Boston College,Big East,,12,9,3,0,4,3,1,0,7,6,1,0,4,3,1,0
1992,Bowling Green,Mid-American,,12,10,2,0,8,8,0,0,5,5,0,0,6,4,2,0
1992,BYU,Western Athletic,,13,8,5,0,8,6,2,0,6,4,2,0,6,4,2,0
1992,California,Pac-10,,11,4,7,0,8,2,6,0,5,3,2,0,6,1,5,0
1992,Cal State Fullerton,Big West,,11,2,9,0,6,0,6,0,4,1,3,0,7,1,6,0
1992,Central Michigan,Mid-American,,11,5,6,0,9,4,5,0,5,4,1,0,6,1,5,0
1992,Cincinnati,FBS Independents,,11,3,8,0,5,0,5,0,6,3,3,0,5,0,5,0
1992,Clemson,ACC,,11,5,6,0,8,3,5,0,6,4,2,0,5,1,4,0
1992,Colorado,Big 8,,12,9,3,0,7,5,2,0,5,5,0,0,6,4,2,0
1992,Colorado State,Western Athletic,,12,5,7,0,8,3,5,0,6,2,4,0,6,3,3,0
1992,Duke,ACC,,11,2,9,0,8,0,8,0,6,2,4,0,5,0,5,0
1992,East Carolina,FBS Independents,,11,5,6,0,4,2,2,0,5,3,2,0,6,2,4,0
1992,Eastern Michigan,Mid-American,,11,1,10,0,8,1,7,0,4,1,3,0,7,0,7,0
1992,Florida,SEC,East,13,9,4,0,9,6,3,0,7,7,0,0,4,1,3,0
1992,Florida State,ACC,,12,11,1,0,8,8,0,0,6,6,0,0,5,4,1,0
1992,Fresno State,Western Athletic,,13,9,4,0,8,6,2,0,6,5,1,0,6,3,3,0
1992,Georgia,SEC,East,12,10,2,0,8,6,2,0,6,5,1,0,5,4,1,0
1992,Georgia Tech,ACC,,11,5,6,0,8,4,4,0,6,4,2,0,5,1,4,0
1992,Hawai'i,Western Athletic,,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
1992,Houston,Southwest,,11,4,7,0,7,2,5,0,5,4,1,0,6,0,6,0
1992,Illinois,Big Ten,,12,7,5,0,8,5,3,0,7,5,2,0,4,2,2,0
1992,Indiana,Big Ten,,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
1992,Iowa,Big Ten,,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
1992,Iowa State,Big 8,,11,4,7,0,7,2,5,0,6,4,2,0,5,0,5,0
1992,Kansas,Big 8,,12,8,4,0,7,4,3,0,6,4,2,0,5,3,2,0
1992,Kansas State,Big 8,,11,5,6,0,7,2,5,0,5,5,0,0,6,0,6,0
1992,Kent State,Mid-American,,11,2,9,0,9,2,7,0,5,1,4,0,6,1,5,0
1992,Kentucky,SEC,East,11,4,7,0,8,2,6,0,6,3,3,0,5,1,4,0
1992,Louisiana,FBS Independents,,11,2,9,0,4,0,4,0,5,2,3,0,6,0,6,0
1992,Louisiana Tech,FBS Independents,,11,5,6,0,3,2,1,0,4,4,0,0,7,1,6,0
1992,Louisville,FBS Independents,,11,5,6,0,3,3,0,0,5,3,2,0,6,2,4,0
1992,LSU,SEC,West,11,2,9,0,8,1,7,0,7,2,5,0,4,0,4,0
1992,Maryland,ACC,,11,3,8,0,8,2,6,0,6,2,4,0,5,1,4,0
1992,Memphis,FBS Independents,,11,6,5,0,7,5,2,0,6,4,2,0,5,2,3,0
1992,Miami,Big East,,12,11,1,0,4,4,0,0,6,6,0,0,5,5,0,0
1992,Miami (OH),Mid-American,,11,7,4,0,8,5,3,0,6,5,1,0,5,2,3,0
